survey,year,species_code,summary_area,length,males,females,unsexed,total
GOA,2021,30060,999,280,6271684,6089777,0,12361461
GOA,2021,30060,999,130,267408,29362,0,296770
GOA,2021,30060,999,270,7469597,8252404,0,15722001
GOA,2021,30060,999,180,3672407,2798709,0,6471116
GOA,2021,30060,999,230,16392917,12491580,36507,28921004
GOA,2021,30060,999,370,130833625,131198586,0,262032211
GOA,2021,30060,999,310,11045440,12626141,0,23671582
GOA,2021,30060,999,380,128614566,89837998,0,218452564
GOA,2021,30060,999,470,0,546205,0,546205
GOA,2021,30060,999,400,100333928,97765215,128756,198227898
GOA,2021,30060,999,390,130471744,90740118,128756,221340618
GOA,2021,30060,999,220,13889465,13975855,0,27865320
GOA,2021,30060,999,440,1011299,9131390,0,10142689
GOA,2021,30060,999,210,11678853,10767423,0,22446276
GOA,1984,30060,999,320,12492396,17915438,8022799,38430634
GOA,1984,30060,999,340,23319847,24596724,19849538,67766110
GOA,1984,30060,999,330,23304468,24391109,12047119,59742696
GOA,1984,30060,999,120,0,0,513601,513601
GOA,1984,30060,999,80,0,0,93097,93097
GOA,1984,30060,999,250,3728545,3020486,4724444,11473475
GOA,1984,30060,999,190,429588,293995,354219,1077802
GOA,1984,30060,999,390,4377472,6200498,2822868,13400838
GOA,1984,30060,999,180,408976,121183,232666,762825
GOA,1984,30060,999,140,34817,38346,763135,836297
GOA,1984,30060,999,470,4748,2161,24656,31565
GOA,1984,30060,999,100,0,0,161368,161368
GOA,1987,30060,999,110,0,23460,0,23460
GOA,1987,30060,999,420,1326744,5342401,0,6669145
GOA,1987,30060,999,430,1161777,6001227,13809,7176812
GOA,1987,30060,999,450,24537,2755185,0,2779721
GOA,1987,30060,999,500,0,7708,0,7708
GOA,1987,30060,999,330,20377302,14958944,0,35336247
GOA,1987,30060,999,260,6978510,6406382,0,13384892
GOA,1987,30060,999,410,3802494,4848296,13809,8664598
GOA,1987,30060,999,180,3742251,1971547,1013030,6726828
GOA,1987,30060,999,190,7706060,4414951,621589,12742600
GOA,1987,30060,999,340,20098140,14242502,0,34340642
GOA,1987,30060,999,130,191311,89370,139382,420063
GOA,1987,30060,999,250,7111756,5832224,10939,12954920
GOA,1987,30060,999,150,1828510,293094,801715,2923319
GOA,1987,30060,999,220,5759823,3825063,188165,9773051
GOA,1984,30060,999,230,2695848,1481942,3645000,7822790
GOA,1984,30060,999,280,2325051,2341947,2167678,6834676
GOA,1984,30060,999,360,11733402,13509712,17853588,43096701
GOA,1984,30060,999,300,3447116,6552979,5322944,15323039
GOA,1984,30060,999,150,109491,27420,333135,470045
GOA,1987,30060,999,370,18107130,12418075,0,30525205
GOA,1987,30060,999,310,7739962,9096962,0,16836925
GOA,1987,30060,999,140,682097,281584,760143,1723824
GOA,1987,30060,999,240,6604287,4957888,21878,11584053
GOA,1987,30060,999,230,6354201,4201454,115960,10671615
GOA,1987,30060,999,120,7964,31620,39823,79408
GOA,1987,30060,999,480,0,75748,0,75748
GOA,1987,30060,999,470,0,156352,27618,183969
GOA,1987,30060,999,390,10268507,7145235,69189,17482931
GOA,1987,30060,999,270,7780520,6399260,41572,14221351
GOA,1987,30060,999,360,22656298,17859776,41426,40557500
GOA,1987,30060,999,320,13052918,10623949,0,23676867
GOA,1987,30060,999,350,21710839,12243944,0,33954783
GOA,1987,30060,999,460,20200,892812,0,913012
GOA,1987,30060,999,210,6292680,3597686,175478,10065844
GOA,2003,30060,999,170,1095079,1166746,211795,2473621
GOA,2003,30060,999,320,12736790,9698079,26002,22460871
GOA,2003,30060,999,100,0,50104,1146891,1196995
GOA,2003,30060,999,150,2024003,891565,917220,3832788
GOA,2003,30060,999,120,87297,133120,295852,516269
GOA,1987,30060,999,200,8292009,4824036,262553,13378598
GOA,1987,30060,999,400,4603141,6249309,0,10852450
GOA,1987,30060,999,300,11010743,8001848,0,19012591
GOA,1987,30060,999,290,10470484,6941302,0,17411785
GOA,1987,30060,999,380,12892332,10346127,41426,23279885
GOA,1987,30060,999,440,97095,4706179,0,4803273
GOA,1987,30060,999,160,1643696,641372,204363,2489431
GOA,1987,30060,999,280,6539946,8314688,0,14854635
GOA,1987,30060,999,170,1606744,1083864,658578,3349186
GOA,2005,30060,999,400,29588048,52583015,0,82171062
GOA,2005,30060,999,330,46928492,35877955,0,82806447
GOA,2005,30060,999,200,9203750,7928865,663693,17796308
GOA,2005,30060,999,140,263561,183702,82962,530225
GOA,2005,30060,999,260,13638527,12895801,0,26534328
GOA,2005,30060,999,190,7911796,6491492,801963,15205250
GOA,2005,30060,999,210,9578367,7299052,414808,17292227
GOA,2005,30060,999,290,18547374,19102319,0,37649693
GOA,2005,30060,999,440,394979,5861464,0,6256443
GOA,2005,30060,999,100,29640,0,0,29640
GOA,2005,30060,999,610,0,39656,0,39656
GOA,2005,30060,999,320,33341794,28340075,0,61681868
GOA,2005,30060,999,120,84227,67027,20489,171744
GOA,2005,30060,999,350,50626615,44265114,0,94891729
GOA,2005,30060,999,370,56972222,49432694,0,106404917
GOA,2005,30060,999,450,195880,1669367,0,1865247
GOA,2005,30060,999,180,4819035,3667747,1106155,9592938
GOA,2005,30060,999,160,449942,603402,525424,1578767
GOA,2005,30060,999,460,63080,1063854,0,1126934
GOA,2005,30060,999,110,17655,0,14224,31879
GOA,2005,30060,999,70,7627,0,0,7627
GOA,2005,30060,999,270,16026901,15954997,0,31981898
GOA,2005,30060,999,430,1093872,9831011,0,10924883
GOA,1990,30060,999,440,248224,1121670,0,1369894
GOA,1990,30060,999,390,4381810,9886984,0,14268794
GOA,1990,30060,999,460,34177,830750,0,864927
GOA,1990,30060,999,470,6081,285522,0,291603
GOA,1990,30060,999,130,92107,87708,9927,189743
GOA,1990,30060,999,330,7103591,5534698,0,12638288
GOA,1990,30060,999,150,255551,138146,88347,482044
GOA,1990,30060,999,280,7126710,7517070,137330,14781109
GOA,1990,30060,999,120,38016,0,13209,51226
GOA,1990,30060,999,400,2716791,12397789,0,15114580
GOA,1990,30060,999,220,3068108,2992284,309536,6369927
GOA,1990,30060,999,240,8005388,7091169,974991,16071548
GOA,1990,30060,999,300,5750727,5742738,0,11493466
GOA,1990,30060,999,360,8167744,6427112,0,14594855
GOA,1990,30060,999,370,9905422,7255850,18477,17179750
GOA,1990,30060,999,270,8349539,7207063,192269,15748871
GOA,1990,30060,999,190,1753405,1208470,1293631,4255505
GOA,1990,30060,999,420,1310971,5634250,0,6945221
GOA,1990,30060,999,110,22089,0,32676,54764
GOA,1990,30060,999,380,7473640,6784506,0,14258146
GOA,1990,30060,999,260,10445842,10964531,423771,21834144
GOA,1990,30060,999,430,829850,1725776,0,2555627
GOA,1990,30060,999,180,606744,421068,468790,1496602
GOA,1990,30060,999,170,234290,262624,128208,625123
GOA,1990,30060,999,500,0,12162,0,12162
GOA,1990,30060,999,480,0,25823,0,25823
GOA,1990,30060,999,250,10165105,9320439,1053369,20538914
GOA,1990,30060,999,450,59025,936138,0,995163
GOA,1990,30060,999,210,1915973,2115297,466435,4497705
GOA,1990,30060,999,310,6110433,4485724,6133,10602290
GOA,1990,30060,999,290,7048769,7845585,61566,14955919
GOA,1990,30060,999,140,510265,50214,85554,646033
GOA,1990,30060,999,490,0,6081,0,6081
GOA,1990,30060,999,230,4062267,3728382,1372061,9162710
GOA,1990,30060,999,320,5597631,4717372,14129,10329132
GOA,1990,30060,999,160,101600,80439,33207,215246
GOA,1984,30060,999,70,0,0,6206,6206
GOA,1984,30060,999,310,6837498,8217614,6748954,21804066
GOA,1984,30060,999,420,761499,2709301,231662,3702463
GOA,1984,30060,999,410,2281567,2883149,679821,5844537
GOA,1984,30060,999,200,313810,379821,591642,1285274
GOA,1984,30060,999,450,24029,109812,146143,279983
GOA,1984,30060,999,90,0,0,148956,148956
GOA,1984,30060,999,240,3535346,2428497,5723194,11687037
GOA,1990,30060,999,410,1892911,11345463,0,13238374
GOA,1990,30060,999,200,1781240,871025,1113636,3765901
GOA,1990,30060,999,340,8465200,6380212,0,14845412
GOA,1990,30060,999,350,9509723,7829339,0,17339062
GOA,1984,30060,999,460,6909,167132,55495,229536
GOA,1993,30060,999,520,0,10235,0,10235
GOA,1993,30060,999,210,1544498,1116022,4356071,7016590
GOA,1993,30060,999,400,12658221,13679096,0,26337317
GOA,1993,30060,999,200,1072344,1445552,3282121,5800018
GOA,1993,30060,999,230,1610316,1567285,300062,3477663
GOA,1993,30060,999,420,3027886,13084997,0,16112883
GOA,1993,30060,999,480,22397,159049,0,181446
GOA,1993,30060,999,320,40594328,33416891,112132,74123351
GOA,1993,30060,999,340,45126184,34770590,5521,79902296
GOA,1993,30060,999,330,43138991,36791076,123174,80053240
GOA,1993,30060,999,250,2934642,3277833,590727,6803202
GOA,1993,30060,999,220,1891637,1589451,2216883,5697971
GOA,1993,30060,999,460,95609,1105704,0,1201313
GOA,2023,30060,999,300,18642966,21562616,506472,40712054
GOA,2023,30060,999,420,67863750,92872391,95876,160832018
GOA,2023,30060,999,230,3565886,2472730,0,6038616
GOA,2023,30060,999,480,0,4221664,0,4221664
GOA,1993,30060,999,300,19860476,16712386,16563,36589425
GOA,1993,30060,999,310,31688356,22395273,11042,54094671
GOA,1993,30060,999,350,47272157,36506779,0,83778936
GOA,1993,30060,999,360,42305042,31854085,0,74159127
GOA,1993,30060,999,100,0,3678,0,3678
GOA,1993,30060,999,430,1620293,10325079,0,11945373
GOA,1993,30060,999,160,280769,202883,1274827,1758479
GOA,1993,30060,999,440,316792,6362567,0,6679359
GOA,2023,30060,999,490,0,3956903,0,3956903
GOA,2023,30060,999,210,1732893,2042037,0,3774930
GOA,2023,30060,999,220,2405385,1212662,146546,3764593
GOA,2023,30060,999,290,24932609,28257881,337648,53528138
GOA,2023,30060,999,470,0,5010016,0,5010016
GOA,2023,30060,999,270,37070718,24657916,675296,62403930
GOA,1993,30060,999,90,21392,0,0,21392
GOA,1993,30060,999,110,7265,0,0,7265
GOA,1993,30060,999,260,7035042,6390124,266628,13691793
GOA,1993,30060,999,150,444305,207037,1348876,2000218
GOA,1993,30060,999,380,24891491,21167235,0,46058725
GOA,1993,30060,999,180,525144,266507,683414,1475066
GOA,2023,30060,999,150,383943,56263,0,440206
GOA,2023,30060,999,160,2225195,684287,0,2909482
GOA,2023,30060,999,310,11956658,16931672,506472,29394802
GOA,1993,30060,999,120,67877,0,9431,77309
GOA,1993,30060,999,130,130226,0,127045,257271
GOA,2023,30060,999,260,28618251,17813999,0,46432251
GOA,2023,30060,999,360,65766120,31916392,85688,97768200
GOA,1993,30060,999,270,10792097,8489281,147154,19428532
GOA,1993,30060,999,290,12853294,12300299,39079,25192672
GOA,1993,30060,999,370,34822757,25954565,0,60777322
GOA,2023,30060,999,350,36387750,17468314,238387,54094451
GOA,2023,30060,999,330,11363646,6177885,23175,17564705
GOA,1993,30060,999,450,41685,1965324,0,2007008
GOA,1993,30060,999,410,3567068,13482344,0,17049413
GOA,1993,30060,999,140,345312,124676,149492,619480
GOA,1993,30060,999,490,0,10235,0,10235
GOA,2023,30060,999,340,20993939,10602612,62513,31659063
GOA,2023,30060,999,450,8086131,43033824,0,51119955
GOA,2023,30060,999,170,4707313,2794049,0,7501362
GOA,2023,30060,999,190,11101512,7316216,0,18417728
GOA,2023,30060,999,90,0,0,8477,8477
GOA,2023,30060,999,110,18454,0,0,18454
GOA,2023,30060,999,120,36909,0,0,36909
GOA,2023,30060,999,410,112786746,125747770,113529,238648045
GOA,2023,30060,999,390,167427543,88950672,272751,256650967
GOA,2023,30060,999,240,9816857,8404659,0,18221516
GOA,2023,30060,999,460,40317,21659293,0,21699611
GOA,2023,30060,999,140,284461,184677,0,469138
GOA,2023,30060,999,130,192812,84741,8477,286030
GOA,1993,30060,999,280,11652979,11166975,142713,22962667
GOA,1993,30060,999,170,391591,214049,371934,977574
GOA,1993,30060,999,80,0,0,251058,251058
GOA,2023,30060,999,380,118915517,66259453,180527,185355498
GOA,2023,30060,999,280,26707857,27179158,0,53887015
GOA,2023,30060,999,440,15486300,46767546,23175,62277021
GOA,2023,30060,999,320,10218789,10770038,168824,21157651
GOA,2023,30060,999,430,42370197,85161549,69524,127601270
GOA,2023,30060,999,370,80113117,37635841,62513,117811470
GOA,2023,30060,999,200,5551643,2855257,0,8406900
GOA,1993,30060,999,190,979105,1045122,1575008,3599235
GOA,1993,30060,999,240,2004462,1624864,552741,4182068
GOA,1993,30060,999,390,17620220,19094562,0,36714782
GOA,1993,30060,999,470,31569,371781,0,403350
GOA,2023,30060,999,100,0,21140,0,21140
GOA,2023,30060,999,400,169629470,115589755,99808,285319033
GOA,2023,30060,999,180,10554054,6800061,168824,17522939
GOA,2023,30060,999,250,15466149,12233571,168824,27868544
GOA,2007,30060,999,460,45131,1217604,0,1262735
GOA,2007,30060,999,480,0,256273,0,256273
GOA,2007,30060,999,210,3943165,3557413,0,7500578
GOA,2007,30060,999,180,2897410,2449316,0,5346727
GOA,2007,30060,999,90,63339,39199,480226,582763
GOA,2007,30060,999,490,0,22213,0,22213
GOA,1996,30060,999,200,1918496,1686944,0,3605441
GOA,1996,30060,999,440,453680,7598078,0,8051758
GOA,1996,30060,999,140,2805996,1086638,1160008,5052642
GOA,1996,30060,999,230,5652341,5396620,0,11048961
GOA,1996,30060,999,120,95819,252007,115218,463043
GOA,1996,30060,999,470,25478,709985,0,735462
GOA,1999,30060,999,220,11406234,9602572,0,21008806
GOA,2007,30060,999,350,59106015,51038724,0,110144739
GOA,2007,30060,999,300,9779656,10546281,0,20325937
GOA,2007,30060,999,370,55405074,47887266,0,103292340
GOA,2007,30060,999,170,2137204,1912304,87660,4137169
GOA,2007,30060,999,160,1037404,904048,24414,1965866
GOA,2007,30060,999,200,3764420,3265655,0,7030075
GOA,1996,30060,999,550,0,7556,0,7556
GOA,1996,30060,999,280,18918350,16038934,0,34957284
GOA,1996,30060,999,310,9536226,9446950,0,18983176
GOA,1996,30060,999,240,6408972,5247672,5584,11662229
GOA,1996,30060,999,290,17011670,11795248,0,28806918
GOA,1996,30060,999,190,1410057,1571795,5584,2987436
GOA,1996,30060,999,220,4510434,3684204,0,8194637
GOA,1996,30060,999,450,83806,4233921,0,4317727
GOA,1999,30060,999,300,5056014,3870653,0,8926667
GOA,1999,30060,999,370,62040368,80375188,0,142415557
GOA,2007,30060,999,110,63339,14303,15368,93010
GOA,2007,30060,999,320,24384461,21961804,0,46346264
GOA,2007,30060,999,340,61440818,44807623,0,106248441
GOA,1996,30060,999,100,0,0,24924,24924
GOA,1996,30060,999,130,1002571,491507,465545,1959623
GOA,1996,30060,999,370,83729945,83901133,0,167631078
GOA,1996,30060,999,430,856726,12951718,0,13808444
GOA,1996,30060,999,330,33306331,19960994,0,53267325
GOA,1999,30060,999,480,13925,70636,0,84561
GOA,1999,30060,999,470,0,290790,0,290790
GOA,1999,30060,999,80,0,0,139361,139361
GOA,1999,30060,999,60,0,0,98213,98213
GOA,1999,30060,999,70,0,0,141481,141481
GOA,1999,30060,999,190,2175156,1366932,336998,3879085
GOA,2007,30060,999,230,3394201,4838212,0,8232413
GOA,2007,30060,999,120,241450,57361,347325,646136
GOA,2007,30060,999,410,12705213,35116223,0,47821436
GOA,2007,30060,999,270,8327072,9215693,0,17542765
GOA,2007,30060,999,310,18006271,15869759,0,33876030
GOA,2007,30060,999,140,316849,384205,234806,935860
GOA,1996,30060,999,490,0,20749,0,20749
GOA,1996,30060,999,80,47518,0,39304,86822
GOA,1999,30060,999,180,995770,779619,539196,2314585
GOA,1999,30060,999,380,46527178,87929940,0,134457118
GOA,1999,30060,999,200,2288487,3298736,202199,5789422
GOA,2007,30060,999,70,0,7667,88149,95816
GOA,2007,30060,999,280,9472664,10689513,0,20162177
GOA,2007,30060,999,240,6459966,6419202,0,12879168
GOA,2007,30060,999,400,24285755,42934893,0,67220648
GOA,2001,30060,999,380,73246545,34187573,0,107434118
GOA,2001,30060,999,270,4272413,4302305,0,8574718
GOA,2001,30060,999,130,2134534,1485411,19591,3639535
GOA,1996,30060,999,270,14741803,10945039,0,25686841
GOA,1996,30060,999,340,62291024,40182522,0,102473546
GOA,1996,30060,999,210,3565168,1550232,0,5115400
GOA,1996,30060,999,160,2080483,1658099,435304,4173886
GOA,2019,30060,999,390,108479783,97935795,0,206415578
GOA,2019,30060,999,210,19069717,18743511,45351,37858579
GOA,2019,30060,999,370,123145689,77947129,0,201092818
GOA,2001,30060,999,90,0,8046,25863,33909
GOA,2001,30060,999,190,9587412,11890415,36942,21514769
GOA,2001,30060,999,230,3703514,3042546,0,6746059
GOA,2001,30060,999,210,5717830,4693402,0,10411232
GOA,2001,30060,999,300,33632618,34017360,0,67649978
GOA,2001,30060,999,360,43343646,18397319,0,61740965
GOA,2001,30060,999,450,18821,340444,0,359264
GOA,1996,30060,999,150,3622319,3303316,1207224,8132859
GOA,1996,30060,999,400,21315882,38650488,0,59966370
GOA,1996,30060,999,360,102189954,74698761,0,176888715
GOA,1996,30060,999,260,9146597,6303506,0,15450103
GOA,1996,30060,999,410,11207298,22214371,0,33421669
GOA,1996,30060,999,350,91424863,55968911,0,147393774
GOA,2005,30060,999,170,1709007,721659,869190,3299857
GOA,2001,30060,999,110,8570,417920,0,426490
GOA,2001,30060,999,80,12818,0,163843,176662
GOA,2001,30060,999,70,0,0,17290,17290
GOA,2001,30060,999,370,53040201,24294433,0,77334634
GOA,2001,30060,999,410,8646620,21201114,0,29847734
GOA,2001,30060,999,310,60540555,69334937,0,129875492
GOA,2001,30060,999,150,698702,641673,54171,1394545
GOA,2019,30060,999,120,2307146,1473671,795856,4576673
GOA,2019,30060,999,560,17145,0,0,17145
GOA,2019,30060,999,310,25561568,19596083,0,45157651
GOA,2019,30060,999,350,80377593,47759893,0,128137486
GOA,2001,30060,999,440,64033,2096837,0,2160870
GOA,2001,30060,999,290,13467780,16937935,0,30405715
GOA,2001,30060,999,340,49630815,38531345,0,88162159
GOA,1996,30060,999,70,8232,0,0,8232
GOA,1996,30060,999,180,705231,548172,0,1253402
GOA,1996,30060,999,300,12394737,11939503,0,24334240
GOA,1996,30060,999,320,14065873,10440252,0,24506125
GOA,2001,30060,999,220,3898171,4069039,0,7967210
GOA,2001,30060,999,140,635800,1424317,54171,2114288
GOA,2001,30060,999,460,0,402117,0,402117
GOA,2001,30060,999,480,0,102387,0,102387
GOA,2001,30060,999,100,18831,0,22058,40889
GOA,2019,30060,999,320,32708407,30143040,0,62851447
GOA,2019,30060,999,400,75185359,99330009,0,174515368
GOA,2001,30060,999,170,3958199,2803171,0,6761370
GOA,2019,30060,999,190,24560940,21309083,36737,45906760
GOA,1999,30060,999,330,31580333,24135435,0,55715768
GOA,1999,30060,999,230,13620035,10217507,0,23837542
GOA,1999,30060,999,250,9622639,11354939,0,20977577
GOA,1999,30060,999,360,86992320,58864289,0,145856610
GOA,1999,30060,999,170,1005170,663120,269598,1937889
GOA,1999,30060,999,240,11491216,8889838,0,20381054
GOA,2001,30060,999,40,36426,0,0,36426
GOA,2001,30060,999,260,4054856,2410047,0,6464904
GOA,2001,30060,999,120,70541,80177,17290,168007
GOA,2019,30060,999,170,7609445,5223456,51151,12884052
GOA,2019,30060,999,180,13106551,9885798,73474,23065823
GOA,2019,30060,999,100,88561,0,40271,128832
GOA,2019,30060,999,80,28851,0,65229,94080
GOA,1999,30060,999,160,1282659,516596,0,1799255
GOA,1999,30060,999,530,0,29478,0,29478
GOA,2001,30060,999,490,28021,0,0,28021
GOA,2001,30060,999,390,58861799,40719230,0,99581029
GOA,2001,30060,999,320,55867341,33404574,0,89271915
GOA,2001,30060,999,350,40043056,36519305,0,76562361
GOA,2001,30060,999,280,10009695,4806552,0,14816247
GOA,2001,30060,999,400,31667192,41711984,0,73379177
GOA,2001,30060,999,250,1262150,4056640,0,5318790
GOA,2001,30060,999,330,62239943,38782519,0,101022461
GOA,2001,30060,999,240,4105865,833318,0,4939184
GOA,2001,30060,999,420,1543263,12231665,0,13774928
GOA,2019,30060,999,110,671567,136368,201353,1009288
GOA,2019,30060,999,130,5256325,3245269,390836,8892430
GOA,2019,30060,999,430,4389968,25055820,0,29445788
GOA,2019,30060,999,460,131955,2037409,0,2169364
GOA,2019,30060,999,290,12053617,10866873,0,22920490
GOA,2019,30060,999,250,10916961,11121625,51151,22089737
GOA,2005,30060,999,280,16263603,15738708,0,32002311
GOA,1999,30060,999,490,0,58590,0,58590
GOA,1999,30060,999,260,6949851,8497301,0,15447151
GOA,1999,30060,999,400,11953129,49053743,0,61006872
GOA,1999,30060,999,270,8549314,9095281,0,17644595
GOA,1999,30060,999,390,34463328,86712538,0,121175866
GOA,1999,30060,999,430,947806,14143017,0,15090823
GOA,1999,30060,999,130,211736,489446,944069,1645251
GOA,2001,30060,999,470,0,56328,0,56328
GOA,2001,30060,999,160,1719927,482107,17290,2219325
GOA,2001,30060,999,180,9966879,12070265,9110,22046255
GOA,2001,30060,999,200,4129053,6416733,0,10545786
GOA,2001,30060,999,430,249114,3595455,0,3844568
GOA,2019,30060,999,230,5320301,4424418,0,9744719
GOA,2019,30060,999,200,32164482,24772170,51151,56987802
GOA,2019,30060,999,140,13694102,10149749,1136481,24980332
GOA,2019,30060,999,490,7940,227884,0,235825
GOA,2019,30060,999,300,14631390,12129057,0,26760448
GOA,2019,30060,999,260,15308006,15293551,0,30601557
GOA,2019,30060,999,380,129328845,90078032,18035,219424912
GOA,2019,30060,999,450,396731,6314316,0,6711047
GOA,2019,30060,999,420,13322941,51598167,0,64921108
GOA,2019,30060,999,160,6566082,6660647,110227,13336956
GOA,2019,30060,999,480,0,363640,0,363640
GOA,2019,30060,999,150,13611260,7103849,945980,21661089
GOA,2005,30060,999,230,12450324,9772189,165923,22388437
GOA,2005,30060,999,420,4015990,24429426,0,28445416
GOA,1999,30060,999,460,34565,432726,0,467291
GOA,1999,30060,999,120,118401,64559,1102141,1285101
GOA,1999,30060,999,90,0,0,77223,77223
GOA,1999,30060,999,100,0,0,38630,38630
GOA,1999,30060,999,110,20177,0,269598,289775
GOA,2005,30060,999,490,0,9094,0,9094
GOA,2005,30060,999,410,11548302,42433255,0,53981557
GOA,2007,30060,999,470,0,323102,0,323102
GOA,2007,30060,999,150,727181,686787,39897,1453865
GOA,2019,30060,999,340,53666967,44074600,0,97741567
GOA,2019,30060,999,440,694627,9517644,0,10212272
GOA,2019,30060,999,240,6616838,9513200,0,16130038
GOA,2019,30060,999,280,13214793,10986157,17205,24218156
GOA,2019,30060,999,410,32947768,77896685,0,110844454
GOA,2019,30060,999,470,25492,803113,0,828605
GOA,1999,30060,999,150,1426864,447415,61210,1935488
GOA,1999,30060,999,450,187056,1719896,0,1906953
GOA,1999,30060,999,280,6620031,7552547,0,14172578
GOA,2005,30060,999,470,62341,463059,0,525400
GOA,2005,30060,999,150,335935,313846,283165,932947
GOA,2005,30060,999,480,0,49954,0,49954
GOA,2005,30060,999,90,16440,14224,15804,46467
