survey,survey_year,species_code,sex,age,agepop,mean_length,standard_deviation
GOA,1984,30060,2,17,411277.6656504065,376.839243964864,15.059697891514615
GOA,1984,30060,2,19,696103.8333333333,392.8937876365667,24.645029896048502
GOA,1984,30060,2,21,183208.24898373982,416.1617062710253,4.863171654367818
GOA,1984,30060,2,22,140641.41463414635,410,0
GOA,1984,30060,2,23,352860.57916666666,411.0353313647638,13.315002570547804
GOA,1984,30060,2,24,571094.6036492978,404.34593387037864,15.487887712855684
GOA,1984,30060,2,25,112887.54166666666,419.99999999999994,8.220950420989847e-6
GOA,1984,30060,2,26,281840.8181818182,390,0
GOA,1984,30060,2,27,204248.2083333333,400,0
GOA,1984,30060,2,29,528905.8052845529,417.75397583531327,7.229673202572047
GOA,1984,30060,2,30,1019774.031300813,402.63924292414885,26.55422272220382
GOA,1984,30060,2,31,1028063.8349501109,401.0926320811449,8.691519531500692
GOA,1984,30060,2,32,980398.9536492978,407.6547901102798,14.926625551241525
GOA,1984,30060,2,33,955171.8011178862,421.7090083814353,15.788815986635152
GOA,1984,30060,2,34,550753.6979674797,420.79338160646233,7.640465089875822
GOA,1984,30060,2,35,546513.5833333333,380,0
GOA,1984,30060,2,36,683174.2119826311,399.5855835688113,9.732280269392737
GOA,1984,30060,2,37,768307.8806818181,403.6781724782093,13.04164287459168
GOA,1984,30060,2,38,500343.9989837398,410.4302414947261,9.260692211762214
GOA,1984,30060,2,39,599547.5302845528,412.742504694976,12.22824343991246
GOA,1984,30060,2,40,626730.4411492979,397.74704730651445,7.895234101559097
GOA,1984,30060,2,41,650929.6854674796,391.64937707556726,22.964067050628028
GOA,1984,30060,2,42,430453.1890151515,402.49858814453023,17.446802128272797
GOA,1984,30060,2,43,1007472.9848484849,399.4435013574392,8.513836447392746
GOA,1984,30060,2,44,929989.254665558,401.3671396040052,10.432147960621187
GOA,1984,30060,2,45,204248.2083333333,400,0
GOA,1984,30060,2,46,821082.4989837398,387.54441288645893,10.939070430564856
GOA,1984,30060,2,47,274568.9156504065,402.56113140668145,4.3648505111307765
GOA,1984,30060,2,48,275376.84898373985,420.79338160646233,7.640465089875822
GOA,1984,30060,2,50,56443.77083333333,419.99999999999994,8.220950420989847e-6
GOA,1984,30060,2,51,331012.6864837398,405.5347802807775,7.66926987503481
GOA,1984,30060,2,52,281840.8181818182,390,0
GOA,1984,30060,2,53,863649.3333333333,389.95828457383163,14.302664148692584
GOA,1984,30060,2,54,828354.4015151514,383.4024183087131,4.7379038339376995
GOA,1984,30060,2,55,56443.77083333333,419.99999999999994,8.220950420989847e-6
GOA,1984,30060,2,56,542532.7973484849,396.88584215846714,9.157844498785508
GOA,1984,30060,2,57,430955.7636363636,349.99999999999994,7.287680384183405e-6
GOA,1984,30060,2,58,70320.70731707317,410,0
GOA,1984,30060,2,63,56443.77083333333,419.99999999999994,8.220950420989847e-6
GOA,1984,30060,2,66,340956.9583333333,370,0
GOA,1984,30060,2,-9,289352,457.2673076391385,7.884339414948475
GOA,1990,30060,1,2,852609.0476190476,148.73137411832252,14.478784846162704
GOA,1990,30060,1,3,6590307.417714965,201.53889155402706,20.188784427323295
GOA,1990,30060,1,4,22794728.57304743,244.35544868460875,17.636196171250702
GOA,1990,30060,1,5,20699317.459616113,263.5920122025163,18.924793369297497
GOA,1990,30060,1,6,17080002.46375402,292.4564254880818,24.413843763213713
GOA,1990,30060,1,7,13780770.160576787,310.07757980105754,28.783390619187653
GOA,1990,30060,1,8,10197622.599042661,326.57898227096103,30.252440615212244
GOA,1990,30060,1,9,8601355.015984273,343.49929800945523,24.030395316915666
GOA,1990,30060,1,10,8515909.772618711,349.15020833031883,17.360399542183977
GOA,1990,30060,1,11,5980858.487052725,351.5425049648048,22.78204698006383
GOA,1990,30060,1,12,3547300.5300947237,355.51532396350797,21.054327025126682
GOA,1990,30060,1,13,2931765.847559022,367.82898001629303,17.48431493116702
GOA,1990,30060,1,14,8974797.241485422,375.06436967413737,17.33216168279779
GOA,1990,30060,1,15,1158098.1455258313,377.8308619206339,11.583460909727984
GOA,1990,30060,1,16,2457903.203352682,373.0833498573771,14.325988556331092
GOA,1990,30060,1,17,983187.3391734052,379.52766302184284,14.83725033306666
GOA,1990,30060,1,18,898750.6183715625,394.45156935837014,25.033645616747712
GOA,1990,30060,1,19,517613.64337712096,383.3789039423881,29.75634234869388
GOA,1990,30060,1,20,211855.5634920635,398.50944082485665,9.888287685207183
GOA,1990,30060,1,21,1054079.3973004513,399.66044022880396,18.706104469900193
GOA,1990,30060,1,22,175618.1357758621,409.3311191509939,9.977604843340421
GOA,1990,30060,1,23,484229.8349372876,389.2916587086679,18.042104629966893
GOA,1990,30060,1,24,163871.375,420,0
GOA,1990,30060,1,25,570117.2953332276,381.4649810330181,13.150303869866224
GOA,1990,30060,1,26,427254.95621236996,396.41208913759044,8.074670537696205
GOA,1990,30060,1,28,400551.9548319328,403.1156369597885,17.966134791307034
GOA,1990,30060,1,29,175618.1357758621,409.3311191509939,9.977604843340421
GOA,1990,30060,1,30,154108.37735849057,360,0
GOA,1990,30060,1,32,121716.94444444444,390,0
GOA,1990,30060,1,33,165970,430,0
GOA,1990,30060,1,35,93682.44827586207,400,0
GOA,1990,30060,1,37,215399.39272030653,394.3492438438537,4.957470768976343
GOA,1990,30060,1,38,333906.8573360379,391.2225845283053,9.924982975863445
GOA,1990,30060,1,39,165970,430,0
GOA,1990,30060,1,40,93682.44827586207,400,0
GOA,1990,30060,1,41,90138.61904761904,410,0
GOA,1990,30060,1,43,146541.96078431373,380,0
GOA,1990,30060,1,44,211855.5634920635,398.50944082485665,9.888287685207183
GOA,1990,30060,1,46,411777.0625,424.03057904664126,4.905122120315849
GOA,1990,30060,1,47,146541.96078431373,380,0
GOA,1990,30060,1,48,326819.19887955184,396.5483458786959,14.91987349275996
GOA,1990,30060,1,49,667009.2234378027,384.90180614939055,12.732363608095236
GOA,1990,30060,1,50,293791.2509920635,404.50296083210276,12.782433040850762
GOA,1990,30060,1,51,149163.61904761905,425.82825634745603,19.560075534044188
GOA,1990,30060,1,53,121716.94444444444,390,0
GOA,1990,30060,1,59,93682.44827586207,400,0
GOA,1990,30060,1,60,243433.88888888888,390,0
GOA,1990,30060,1,69,121716.94444444444,390,0
GOA,1990,30060,1,71,203652.63194444444,402.06991827962503,14.711037390746398
GOA,1990,30060,1,75,248224,440,0
GOA,1990,30060,1,-9,100363,254.78712274443768,169.24076702041896
GOA,1990,30060,2,2,336397.25,145.08614443191792,10.630424845556222
GOA,1990,30060,2,3,3880964.3935897434,197.72278176217398,13.450389055751591
GOA,1990,30060,2,4,22727152.321586568,244.04269808682542,16.757080437316006
GOA,1990,30060,2,5,17076903.57959087,265.20238733657624,19.43609787291815
GOA,1990,30060,2,6,19310137.471968427,289.1364882857138,29.628451866437597
GOA,1990,30060,2,7,14053749.301581535,317.2275797605999,33.12470826916086
GOA,1990,30060,2,8,10072485.097151568,324.8115667457577,33.17459890724588
GOA,1990,30060,2,9,8287267.9726927625,344.2335921721709,23.91441696188528
GOA,1990,30060,2,10,8649160.26136621,358.5510183588359,27.032421840808244
GOA,1990,30060,2,11,5397554.207044173,376.8021666702197,27.36297609872199
GOA,1990,30060,2,12,3931576.4538355772,362.11435731363696,30.326483677628307
GOA,1990,30060,2,13,5900837.547976786,387.8116074450111,23.50596345672878
GOA,1990,30060,2,14,13539224.867275903,393.7768751420813,19.36851373920253
GOA,1990,30060,2,15,4198795.507769626,397.3920217066245,19.926340216743036
GOA,1990,30060,2,16,891957.9187699981,398.5587530563208,23.77913141385379
GOA,1990,30060,2,17,467889.3738892686,385.90346000693495,21.793515152303907
GOA,1990,30060,2,18,1637476.5588474027,413.8808143927725,5.59244605025112
GOA,1990,30060,2,19,679148.0383216104,393.99763991878024,23.611207301885592
GOA,1990,30060,2,20,1746813.1363721343,405.6913236661698,22.334608528641045
GOA,1990,30060,2,21,259656.26086956522,405.9189590786749,29.721122202879258
GOA,1990,30060,2,22,371579.5821428572,404.97617684917583,11.158986040004443
GOA,1990,30060,2,23,170203.02173913043,350,0
GOA,1990,30060,2,24,1862787.792578098,400.7561414406305,10.038009573533534
GOA,1990,30060,2,25,883660.4500000001,416.64054332181547,25.89886321988942
GOA,1990,30060,2,26,783892.8041125541,437.2932268293691,17.195473574065456
GOA,1990,30060,2,27,492553.4951013898,405.404295808921,16.579803236288033
GOA,1990,30060,2,28,354545.71875,410,0
GOA,1990,30060,2,29,697816.2277626042,385.1965703522976,18.252530626561217
GOA,1990,30060,2,30,461854.53452380956,380.2652396152696,28.189091075114945
GOA,1990,30060,2,31,354545.71875,410,0
GOA,1990,30060,2,32,525280.5672348485,413.25035531741867,4.683881241525432
GOA,1990,30060,2,33,117017.25,450,0
GOA,1990,30060,2,34,170734.84848484848,420,0
GOA,1990,30060,2,35,502034.9796195652,401.1865148730475,13.664810050840657
GOA,1990,30060,2,36,941461.1431277057,413.1228539267571,5.8796062333109544
GOA,1990,30060,2,37,1167619.124532985,408.18546551854877,14.659594810641892
GOA,1990,30060,2,38,771877.2022727273,415.86346037042887,38.113798052086345
GOA,1990,30060,2,39,905844.1830357143,432.91703106835075,21.69000061454695
GOA,1990,30060,2,40,651414.421969697,410.48394648485635,9.988282925499739
GOA,1990,30060,2,41,56083.5,440,0
GOA,1990,30060,2,42,309944.72500000003,400,0
GOA,1990,30060,2,43,403104.5541125541,421.5290042375866,3.598914894427094
GOA,1990,30060,2,44,416180.57589285716,412.96192858163204,7.1039109446799245
GOA,1990,30060,2,45,591141.0037593985,422.9344664768892,31.152839955178766
GOA,1990,30060,2,47,117718.35714285713,434.76421021845727,4.99443722344757
GOA,1990,30060,2,48,496140.7056277056,440.2473178626197,17.817251656837655
GOA,1990,30060,2,49,56083.5,440,0
GOA,1990,30060,2,50,173100.75,446.76006603090974,4.679975167331929
GOA,1990,30060,2,51,173100.75,446.76006603090974,4.679975167331929
GOA,1990,30060,2,52,288453.2056277056,426.0253051015552,7.926817315012807
GOA,1990,30060,2,55,354545.71875,410,0
GOA,1990,30060,2,56,354545.71875,410,0
GOA,1990,30060,2,59,354545.71875,410,0
GOA,1990,30060,2,60,371579.5821428572,404.97617684917583,11.158986040004443
GOA,1990,30060,2,61,726125.3008928571,407.4291625634757,8.36829001718629
GOA,1990,30060,2,63,147489.26086956522,380,0
GOA,1990,30060,2,65,170734.84848484848,420,0
GOA,1990,30060,2,70,170734.84848484848,420,0
GOA,1990,30060,2,71,260183.78947368418,390,0
GOA,1990,30060,2,-9,44066,486.89987745654247,8.751541881432324
GOA,1990,30060,3,2,267409.6333333333,152.15507942932499,16.08135056628954
GOA,1990,30060,3,3,2964139.634685755,193.99507100656848,12.287990162535666
GOA,1987,30060,1,2,4881195.333333333,153.38060567951047,9.7870462807015155
GOA,1987,30060,1,3,30313243.51448417,200.14283607533815,15.356644405366534
GOA,1987,30060,1,4,24912430.147789165,243.4415070116377,21.57408043210991
GOA,1987,30060,1,5,15821533.144230729,266.6823272595196,18.708135261470918
GOA,1987,30060,1,6,22480289.56947723,293.94773325588585,17.28277195240316
GOA,1987,30060,1,7,35877622.796713285,327.09036515502794,16.331315512040618
GOA,1987,30060,1,8,14377326.258842094,328.71567214530353,21.298366674787715
GOA,1987,30060,1,9,14710945.66041384,345.715925292313,16.81656176382704
GOA,1987,30060,1,10,24802265.36908745,353.48836989504775,19.324069486492572
GOA,1987,30060,1,11,26630330.862200696,355.99037099970576,19.372526395160858
GOA,1987,30060,1,12,3482668.382286822,366.30072618023684,13.604942834061845
GOA,1987,30060,1,13,2682525.5006475486,364.4780628412042,12.628628338346019
GOA,1987,30060,1,14,3242799.330112909,367.80075260800606,10.120630351250194
GOA,1987,30060,1,15,2545851.00922366,376.0181718849297,18.637125072947484
GOA,1987,30060,1,16,2577219.6899876655,380.6692856275923,14.170640864260914
GOA,1987,30060,1,17,4014270.4484774373,374.09175286827036,19.385789521975102
GOA,1987,30060,1,18,1499302.4329324698,384.56291847914747,13.1024248432316
GOA,1987,30060,1,19,976575.4172679618,375.5126310803459,11.693020157130436
GOA,1987,30060,1,20,1266848.6727659574,397.08098164926804,16.239353907477387
GOA,1987,30060,1,21,1381679.0913598519,387.21622097485744,11.511713498121756
GOA,1987,30060,1,22,778579.744680851,390.496126443873,9.616147656308394
GOA,1987,30060,1,23,126749.8,410,0
GOA,1987,30060,1,24,218478.87234042553,390,0
GOA,1987,30060,1,26,447260.8239130435,389.12826373915397,23.560398081658686
GOA,1987,30060,1,27,58088.850000000006,430,0
GOA,1987,30060,1,28,218478.87234042553,390,0
GOA,1987,30060,1,29,218478.87234042553,390,0
GOA,1987,30060,1,31,151008.93021276596,407.0286916045596,9.548367735860998
GOA,1987,30060,1,32,215232.03021276597,414.453114608104,14.278919955864428
GOA,1987,30060,1,33,663556.6306382979,407.9326860089343,9.6981167978009
GOA,1987,30060,1,34,787470.406253469,391.79516755234624,17.874455502760505
GOA,1987,30060,1,35,521909.1504255319,397.13861445275984,17.243501561841388
GOA,1987,30060,1,36,495046.5946808511,394.6936066725153,12.873007546968177
GOA,1987,30060,1,37,351438.77021276596,407.2131939184321,4.483500047894465
GOA,1987,30060,1,38,277758.730212766,408.3845904617148,7.194261248290385
GOA,1987,30060,1,39,867342.0411810053,375.2705700640414,18.760077793576244
GOA,1987,30060,1,40,209097.78021276597,413.41028439970404,13.103896110413805
GOA,1987,30060,1,41,510694.5823404255,391.2865973572479,15.898787655289556
GOA,1987,30060,1,42,661878.3902127659,403.8952403313413,18.86669216362973
GOA,1987,30060,1,43,492580.51492753625,381.18352306634586,30.08021063137398
GOA,1987,30060,1,44,195878.3404255319,400,0
GOA,1987,30060,1,45,442241.73391304346,387.46438521679335,21.297218311466104
GOA,1987,30060,1,46,911539.6425531915,397.0602060532459,12.301649694940266
GOA,1987,30060,1,47,967398.3279062596,385.4750870296447,19.1776320818068
GOA,1987,30060,1,48,467426.9727659574,397.5966437778362,9.294030565281293
GOA,1987,30060,1,49,832339.816466235,390.9622755129837,16.086603216118156
GOA,1987,30060,1,50,477039.74021276593,399.0944400149821,19.4407362814761
GOA,1987,30060,1,51,97939.17021276595,400,0
GOA,1987,30060,1,52,1033737.9429787233,397.20834323340335,11.89718383165705
GOA,1987,30060,1,53,218478.87234042553,390,0
GOA,1987,30060,1,54,955739.8613937711,377.76629332284176,20.164459612568695
GOA,1987,30060,1,55,1592944.6190194264,384.88762309952835,11.068300718522647
GOA,1987,30060,1,56,966396.3713937711,377.4177214609959,18.3985610533154
GOA,1987,30060,1,57,221006.44999999998,381.94291840803743,11.499102426811449
GOA,1987,30060,1,58,331049.9,397.54685622922705,23.863165086220516
GOA,1987,30060,1,59,267941.95999999996,387.9225754711954,15.941637831509302
GOA,1987,30060,1,60,195878.3404255319,400,0
GOA,1987,30060,1,61,583137.0823404256,405.4091363285217,13.331727874033499
GOA,1987,30060,1,62,360361.3441258094,378.1534136618084,13.346319923995658
GOA,1987,30060,1,63,218478.87234042553,390,0
GOA,1987,30060,1,64,224688.97021276597,405.6411224761044,4.958725841454934
GOA,1987,30060,1,65,126749.8,410,0
GOA,1987,30060,1,67,16234.25,456.22141460184486,4.848520018562091
GOA,1987,30060,1,71,58088.850000000006,430,0
GOA,1987,30060,1,74,24273.75,440,0
GOA,1987,30060,1,-9,7964,120,0
GOA,1987,30060,2,2,1925085,158.41395574740855,11.518987154797612
GOA,1987,30060,2,3,15298470.76927989,198.5420955972888,15.13072935812846
GOA,1987,30060,2,4,18610539.994614467,237.89341668608978,17.30598325039516
GOA,1987,30060,2,5,15724884.375364793,266.7951860413199,12.996321190541812
GOA,1987,30060,2,6,21015578.974509783,298.55157887131725,18.29428948344631
GOA,1987,30060,2,7,33562485.876329295,322.5711322106462,17.444622344733784
GOA,1987,30060,2,8,12214511.415827952,334.1598071773933,24.352038208553296
GOA,1987,30060,2,9,14514229.037079034,352.607226642927,14.077872235578742
GOA,1987,30060,2,10,16439956.024234174,358.8915775844329,15.253059450529099
GOA,1987,30060,2,11,19196476.068684585,370.01522057592103,16.600468908369393
GOA,1987,30060,2,12,5207130.550538698,368.41835758446217,17.26539807309117
GOA,1987,30060,2,13,2358081.4393353187,385.18756401848884,21.49566176320808
GOA,1987,30060,2,14,1749769.3170521315,397.95792402443703,21.3866638974445
GOA,1987,30060,2,15,1915609.3347992077,405.10698719665913,26.195588890162835
GOA,1987,30060,2,16,2627574.4154160935,405.2460170655159,16.778924930229284
GOA,1987,30060,2,17,2125991.3359603034,391.62584493471235,27.732204662316484
GOA,1987,30060,2,18,1667947.657802011,420.4591132311138,20.028888699557672
GOA,1987,30060,2,19,1296615.5918435014,422.2709138106657,6.583283891516094
GOA,1987,30060,2,20,1326728.5631366754,420.69461069776315,10.816643107518498
GOA,1987,30060,2,21,633006.9539320628,421.640383661755,17.008485430604928
GOA,1987,30060,2,22,428637.00957854406,428.29900706515957,14.632721974535146
GOA,1987,30060,2,23,960368.8671730804,401.0548610568064,25.906266438797726
GOA,1987,30060,2,24,761497.321544356,431.72261834120866,13.144823284519275
GOA,1987,30060,2,25,261454.38888888888,440,0
GOA,1987,30060,2,26,102043.88888888888,450,0
GOA,1987,30060,2,27,428404.4201388889,432.205961311236,9.753652377101373
GOA,1987,30060,2,28,167182.62068965516,410,0
GOA,1987,30060,2,29,499810.343215812,430.7430367744859,10.701245761897923
GOA,1987,30060,2,30,677222.4230769231,449.77515738352747,14.219629811024241
GOA,1987,30060,2,31,428404.4201388889,432.205961311236,9.753652377101373
GOA,1987,30060,2,32,1395762.7656290496,416.0445592373338,23.716904304613053
GOA,1987,30060,2,33,1530559.5599971984,424.57545831184643,17.062116550341386
GOA,1987,30060,2,34,971331.0929602796,417.38546418422186,18.060971126952627
GOA,1987,30060,2,35,1746710.7736187424,425.8400850111439,15.56500237769594
GOA,1987,30060,2,36,659453.4326554672,428.8943745095567,11.8250372239061
GOA,1987,30060,2,37,230816.4230769231,430,0
GOA,1987,30060,2,38,102043.88888888888,450,0
GOA,1987,30060,2,39,694905.136562671,420.07138918843475,26.1693357478454
GOA,1987,30060,2,40,432096.298367145,396.15436983742075,4.864918321865102
GOA,1987,30060,2,41,522908.77777777775,440,0
GOA,1987,30060,2,42,598788.3545190034,420.08503847141947,19.223934928242183
GOA,1987,30060,2,43,1131753.3551360872,428.89268680455706,20.593175074091686
GOA,1987,30060,2,44,996272.6422701855,431.04176151146896,15.619581261563058
GOA,1987,30060,2,45,931906.641582957,414.7053412778931,19.232979813595414
GOA,1987,30060,2,46,334132.6519396552,414.99651950447964,4.999998788613638
GOA,1987,30060,2,47,132964.02127659574,400,0
GOA,1987,30060,2,48,363780.44435351883,419.0348128927418,14.447154907474467
GOA,1987,30060,2,49,269226.50957854406,425.16104622069076,19.405785898069652
GOA,1987,30060,2,51,102043.88888888888,450,0
GOA,1987,30060,2,54,402190.5308551398,416.84281486423373,19.803743842220523
GOA,1987,30060,2,55,466082.30834054924,403.59875935396997,12.88334190937409
GOA,1987,30060,2,56,276603.98888888885,442.19079993182396,9.101230297693142
GOA,1987,30060,2,58,962643.0580636943,394.8781308190797,12.773483245124986
GOA,1987,30060,2,60,15149.6,480,0
GOA,1987,30060,2,61,363780.44435351883,419.0348128927418,14.447154907474467
GOA,1987,30060,2,62,496560.74972314504,386.6927664301538,4.7047361044955895
GOA,1987,30060,2,64,331174.2693452381,400.1646138246278,19.999322545744512
GOA,1987,30060,2,65,330392.4939091916,385.0294198227041,4.9999134466536015
GOA,1987,30060,2,67,299132.27709054924,394.4449907769848,4.9691010014266945
GOA,1987,30060,2,68,446406,460,0
GOA,1987,30060,2,71,15149.6,480,0
GOA,1987,30060,2,72,132964.02127659574,400,0
GOA,1987,30060,2,75,156352,470,0
GOA,1987,30060,2,78,15149.6,480,0
GOA,1987,30060,2,-9,120538,149.76770810864625,91.87700253838895
GOA,1987,30060,3,2,2274715,148.70122191131637,11.784926804868373
GOA,1987,30060,3,3,2463134.387059196,187.0014346223462,13.103846143786322
GOA,1987,30060,3,4,261950.46521888103,223.02987634560708,14.86224918803529
GOA,1987,30060,3,5,43811.86603178238,249.3414833186018,25.83216854508613
GOA,1987,30060,3,6,9214.211267605633,268.99674263117754,4.36561817253305
GOA,1987,30060,3,7,2121.8039215686276,329.0640594388792,42.74578613266693
GOA,1987,30060,3,8,3690.1220724634754,321.6566041065775,47.67953307259944
GOA,1987,30060,3,9,10386.924916307988,363.24250681198913,7.371315066795321
GOA,1987,30060,3,10,22370.48469631755,372.3813785344572,12.077949696116951
GOA,1987,30060,3,11,35962.72152080345,378.0196742919029,12.029394356401637
GOA,1987,30060,3,12,7869.46743185079,377.7144827045381,12.558443836361757
GOA,1987,30060,3,13,3771.034140667429,382.1013749282772,19.675049737815925
GOA,1987,30060,3,14,5934.70829462831,384.0282786455122,13.302825789233575
GOA,1987,30060,3,15,5549.98955177592,388.26646497483705,15.760188122889922
GOA,1987,30060,3,16,8247.910205368342,390.1713527763684,13.645279416804401
GOA,1987,30060,3,17,8547.83803742537,390.5290463382454,18.989388659853418
GOA,1987,30060,3,18,3345.2492903403613,393.1911174448517,9.156574345436189
GOA,1987,30060,3,19,2624.919961465903,394.3876403551442,22.9651538742134
GOA,1987,30060,3,20,3879.5418133016997,408.56592008496597,19.70354637849992
GOA,1987,30060,3,21,3177.3432475990203,394.1924571940725,13.177873806684143
GOA,1987,30060,3,22,2342.431776216067,392.55890757608876,9.36826492983702
GOA,1987,30060,3,23,1339.6142620917735,390.9801698195027,9.698795408521887
GOA,1987,30060,3,24,1303.013166298207,402.8078851908467,16.62601493219995
GOA,1987,30060,3,26,534.2464996315402,421.2380952380952,9.923060021053876
GOA,1987,30060,3,27,300.19565217391306,430,0
GOA,1987,30060,3,28,1002.8175141242938,394.667865173097,8.459807219302384
GOA,1987,30060,3,29,1068.9623188405797,401.23316123994016,17.97616583576984
