"variable","year","src","median","lower","upper"
"spawn_biom",1999,"2021 Model",115.576,82.180325,179.838075
"spawn_biom",2000,"2021 Model",118.9165,85.1320525,185.802425
"spawn_biom",2001,"2021 Model",121.0365,87.4829775,191.8004
"spawn_biom",2002,"2021 Model",124.4215,89.816555,197.116675
"spawn_biom",2003,"2021 Model",128.351,92.8733225,202.276075
"spawn_biom",2004,"2021 Model",134.3635,97.6479425,212.7809
"spawn_biom",2005,"2021 Model",141.771,103.6227,221.91615
"spawn_biom",2006,"2021 Model",150.98,110.1344,234.44365
"spawn_biom",2007,"2021 Model",160.208,115.722025,249.486375
"spawn_biom",2008,"2021 Model",170.797,123.375975,267.035725
"spawn_biom",2009,"2021 Model",182.5465,130.9309,279.1298
"spawn_biom",2010,"2021 Model",193.211,138.72285,294.489775
"spawn_biom",2011,"2021 Model",201.82,144.1377,309.51805
"spawn_biom",2012,"2021 Model",208.405,148.4191,320.86225
"spawn_biom",2013,"2021 Model",213.184,152.7063,328.50915
"spawn_biom",2014,"2021 Model",219.158,157.415425,335.2062
"spawn_biom",2015,"2021 Model",224.22,159.163975,342.20645
"spawn_biom",2016,"2021 Model",230.04,161.382075,351.786575
"spawn_biom",2017,"2021 Model",232.344,162.328525,359.375825
"spawn_biom",2018,"2021 Model",235.3895,163.513375,362.86315
"spawn_biom",2019,"2021 Model",237.028,161.266525,365.443025
"spawn_biom",2020,"2021 Model",234.462,158.640075,363.3014
"spawn_biom",2021,"2021 Model",223.959,150.092925,347.865625
"spawn_biom_proj",2022,"2021 Model",219.2685,144.079075,343.238275
"spawn_biom_proj",2023,"2021 Model",211.9145,141.735625,328.571975
"spawn_biom_proj",2024,"2021 Model",204.774,136.89065,320.642325
"spawn_biom_proj",2025,"2021 Model",201.191,127.139225,319.3845
"spawn_biom_proj",2026,"2021 Model",199.07,114.37275,321.813525
"spawn_biom_proj",2027,"2021 Model",195.937,104.13345,319.3104
"spawn_biom_proj",2028,"2021 Model",191.903,96.2755775,323.01345
"spawn_biom_proj",2029,"2021 Model",187.3925,88.385045,326.686175
"spawn_biom_proj",2030,"2021 Model",182.2555,81.9391225,321.3956
"spawn_biom_proj",2031,"2021 Model",177.59,74.5604375,315.82945
"spawn_biom_proj",2032,"2021 Model",172.222,70.95764,308.656825
"spawn_biom_proj",2033,"2021 Model",167.7155,66.78455,304.044375
"spawn_biom_proj",2034,"2021 Model",163.813,64.39743,302.576825
"spawn_biom_proj",2035,"2021 Model",159.503,63.0281325,302.709425
"spawn_biom_proj",2036,"2021 Model",157.905,62.097365,300.55125
"tot_biom",1961,"2021 Model",999.4075,899.46755,1113.68275
"tot_biom",1962,"2021 Model",1138.9,1042.24,1262.9925
"tot_biom",1963,"2021 Model",1216.7,1115.1985,1343.58775
"tot_biom",1964,"2021 Model",1192.59,1094.743,1322.52775
"tot_biom",1965,"2021 Model",1036.24,929.251425,1153.87575
"tot_biom",1966,"2021 Model",743.843,673.3337,828.970525
"tot_biom",1967,"2021 Model",595.7185,534.8061,663.5
"tot_biom",1968,"2021 Model",526.3035,476.382425,587.84005
"tot_biom",1969,"2021 Model",467.2625,421.6921,523.82475
"tot_biom",1970,"2021 Model",431.7215,385.6659,487.58725
"tot_biom",1971,"2021 Model",417.3105,374.0925,469.403125
"tot_biom",1972,"2021 Model",362.958,321.21015,416.79525
"tot_biom",1973,"2021 Model",300.6605,262.283675,353.981675
"tot_biom",1974,"2021 Model",257.743,221.9805,307.752675
"tot_biom",1975,"2021 Model",214.2765,179.9893,266.042175
"tot_biom",1976,"2021 Model",170.33,138.871775,218.963025
"tot_biom",1977,"2021 Model",130.1645,98.618245,180.023525
"tot_biom",1978,"2021 Model",115.1,84.9549825,165.41185
"tot_biom",1979,"2021 Model",114.2045,84.1099075,164.0439
"tot_biom",1980,"2021 Model",112.473,82.9720925,165.03755
"tot_biom",1981,"2021 Model",108.6065,78.97445,162.8485
"tot_biom",1982,"2021 Model",106.0475,75.961535,160.60825
"tot_biom",1983,"2021 Model",109.2105,78.9282075,171.059925
"tot_biom",1984,"2021 Model",116.601,85.6787975,182.14705
"tot_biom",1985,"2021 Model",125.892,93.8271575,196.121875
"tot_biom",1986,"2021 Model",140.6155,104.80225,217.482825
"tot_biom",1987,"2021 Model",156.928,117.45385,237.599325
"tot_biom",1988,"2021 Model",174.4545,130.067775,266.028325
"tot_biom",1989,"2021 Model",192.7645,142.55315,296.227575
"tot_biom",1990,"2021 Model",210.207,154.706525,326.2725
"tot_biom",1991,"2021 Model",226.0695,163.30585,354.61005
"tot_biom",1992,"2021 Model",245.245,176.3346,388.25785
"tot_biom",1993,"2021 Model",265.7525,189.34475,416.99045
"tot_biom",1994,"2021 Model",286.6275,206.101025,445.5364
"tot_biom",1995,"2021 Model",304.368,220.984175,470.963675
"tot_biom",1996,"2021 Model",319.9435,233.03005,492.9318
"tot_biom",1997,"2021 Model",333.4385,244.05915,513.90725
"tot_biom",1998,"2021 Model",346.2195,253.40545,538.22065
"tot_biom",1999,"2021 Model",359.9535,266.441225,557.05295
"tot_biom",2000,"2021 Model",379.0945,279.91425,581.94225
"tot_biom",2001,"2021 Model",399.1675,296.4441,609.9027
"tot_biom",2002,"2021 Model",425.135,314.62915,650.539
"tot_biom",2003,"2021 Model",448.681,331.907925,687.3065
"tot_biom",2004,"2021 Model",477.0985,351.685075,724.0739
"tot_biom",2005,"2021 Model",501.496,369.2727,756.92955
"tot_biom",2006,"2021 Model",522.5245,383.525875,787.79035
"tot_biom",2007,"2021 Model",539.374,395.20005,807.4683
"tot_biom",2008,"2021 Model",556.774,407.514175,834.196025
"tot_biom",2009,"2021 Model",573.3215,421.55445,860.9995
"tot_biom",2010,"2021 Model",596.089,435.52185,891.397775
"tot_biom",2011,"2021 Model",611.638,445.223775,915.942
"tot_biom",2012,"2021 Model",631.223,459.710725,942.006325
"tot_biom",2013,"2021 Model",645.772,469.474725,963.894525
"tot_biom",2014,"2021 Model",658.5695,478.791475,980.752975
"tot_biom",2015,"2021 Model",668.586,480.6812,994.965525
"tot_biom",2016,"2021 Model",675.1445,484.014625,1002.310825
"tot_biom",2017,"2021 Model",675.678,475.2587,1002.54675
"tot_biom",2018,"2021 Model",682.9875,471.257775,1005.71355
"tot_biom",2019,"2021 Model",683.3465,469.03845,1015.68975
"tot_biom",2020,"2021 Model",689.966,461.12815,1022.30525
"tot_biom",2021,"2021 Model",695.969,452.412775,1017.368
"tot_biom_proj",2021,"2021 Model",697.2165,449.121225,1034.69425
