"","year","length","value","groups","Length","Year"
"167",1996,27,0.0208526,"obs","27","1996"
"168",1999,27,0.0146395,"obs","27","1999"
"169",2001,27,0.00725858,"obs","27","2001"
"170",2003,27,0.0244946,"obs","27","2003"
"171",2005,27,0.0238437,"obs","27","2005"
"172",2007,27,0.0157391,"obs","27","2007"
"173",2009,27,0.0151295,"obs","27","2009"
"174",2011,27,0.0282609,"obs","27","2011"
"175",2013,27,0.0223384,"obs","27","2013"
"176",2015,27,0.0236666,"obs","27","2015"
"177",2017,27,0.0117898,"obs","27","2017"
"178",2019,27,0.0124131,"obs","27","2019"
"179",2021,27,0.00697807,"obs","27","2021"
"180",2023,27,0.0291127,"obs","27","2023"
"181",1993,28,0.0276574,"obs","28","1993"
"182",1996,28,0.0284356,"obs","28","1996"
"183",1999,28,0.0117588,"obs","28","1999"
"184",2001,28,0.0125421,"obs","28","2001"
"185",2003,28,0.0216182,"obs","28","2003"
"186",2005,28,0.0238589,"obs","28","2005"
"187",2007,28,0.0180892,"obs","28","2007"
"188",2009,28,0.0117041,"obs","28","2009"
"189",2011,28,0.00985035,"obs","28","2011"
"190",2013,28,0.0199498,"obs","28","2013"
"191",2015,28,0.023835,"obs","28","2015"
"192",2017,28,0.00671903,"obs","28","2017"
"193",2019,28,0.0120664,"obs","28","2019"
"194",2021,28,0.00548652,"obs","28","2021"
"195",2023,28,0.0251394,"obs","28","2023"
"196",1993,29,0.0303434,"obs","29","1993"
"197",1996,29,0.0234138,"obs","29","1996"
"198",1999,29,0.0137956,"obs","29","1999"
"199",2001,29,0.0257387,"obs","29","2001"
"200",2003,29,0.0190473,"obs","29","2003"
"201",2005,29,0.0280692,"obs","29","2005"
"202",2007,29,0.0141471,"obs","29","2007"
"203",2009,29,0.0162363,"obs","29","2009"
"204",2011,29,0.00646469,"obs","29","2011"
"205",2013,29,0.0297977,"obs","29","2013"
"206",2015,29,0.0148443,"obs","29","2015"
"207",2017,29,0.00689503,"obs","29","2017"
"208",2019,29,0.0114198,"obs","29","2019"
"209",2021,29,0.0048086,"obs","29","2021"
"210",2023,29,0.0249719,"obs","29","2023"
"211",1993,30,0.0440702,"obs","30","1993"
"212",1996,30,0.019758,"obs","30","1996"
"213",1999,30,0.00740634,"obs","30","1999"
"214",2001,30,0.0572663,"obs","30","2001"
"215",2003,30,0.0212886,"obs","30","2003"
"216",2005,30,0.0271633,"obs","30","2005"
"217",2007,30,0.0182361,"obs","30","2007"
"218",2009,30,0.0221294,"obs","30","2009"
"219",2011,30,0.00682553,"obs","30","2011"
"220",2013,30,0.0312934,"obs","30","2013"
"221",2015,30,0.0168957,"obs","30","2015"
"222",2017,30,0.00729335,"obs","30","2017"
"223",2019,30,0.0133331,"obs","30","2019"
"224",2021,30,0.00682058,"obs","30","2021"
"225",2023,30,0.018993,"obs","30","2023"
"226",1993,31,0.0651544,"obs","31","1993"
"227",1996,31,0.0154189,"obs","31","1996"
"228",1999,31,0.022598,"obs","31","1999"
"229",2001,31,0.109941,"obs","31","2001"
"230",2003,31,0.0208076,"obs","31","2003"
"231",2005,31,0.0396894,"obs","31","2005"
"232",2007,31,0.030393,"obs","31","2007"
"233",2009,31,0.0262157,"obs","31","2009"
"234",2011,31,0.0107209,"obs","31","2011"
"235",2013,31,0.029568,"obs","31","2013"
"236",2015,31,0.0308021,"obs","31","2015"
"237",2017,31,0.0138398,"obs","31","2017"
"238",2019,31,0.0224992,"obs","31","2019"
"239",2021,31,0.0105064,"obs","31","2021"
"240",2023,31,0.0137133,"obs","31","2023"
"241",1993,32,0.089278,"obs","32","1993"
"242",1996,32,0.0198591,"obs","32","1996"
"243",1999,32,0.0260773,"obs","32","1999"
"244",2001,32,0.0755695,"obs","32","2001"
"245",2003,32,0.0291489,"obs","32","2003"
"246",2005,32,0.0459861,"obs","32","2005"
"247",2007,32,0.0415811,"obs","32","2007"
"248",2009,32,0.0367922,"obs","32","2009"
"249",2011,32,0.0161478,"obs","32","2011"
"250",2013,32,0.0271114,"obs","32","2013"
"251",2015,32,0.0405421,"obs","32","2015"
"252",2017,32,0.0212665,"obs","32","2017"
"253",2019,32,0.0313149,"obs","32","2019"
"254",2021,32,0.0211001,"obs","32","2021"
"255",2023,32,0.00987046,"obs","32","2023"
"256",1993,33,0.0964203,"obs","33","1993"
"257",1996,33,0.0431741,"obs","33","1996"
"258",1999,33,0.0462267,"obs","33","1999"
"259",2001,33,0.0855164,"obs","33","2001"
"260",2003,33,0.0487764,"obs","33","2003"
"261",2005,33,0.0617352,"obs","33","2005"
"262",2007,33,0.0651894,"obs","33","2007"
"263",2009,33,0.0532072,"obs","33","2009"
"264",2011,33,0.0370723,"obs","33","2011"
"265",2013,33,0.0306941,"obs","33","2013"
"266",2015,33,0.0556198,"obs","33","2015"
"267",2017,33,0.0415278,"obs","33","2017"
"268",2019,33,0.0415646,"obs","33","2019"
"269",2021,33,0.0395799,"obs","33","2021"
"270",2023,33,0.00819428,"obs","33","2023"
"271",1993,34,0.0962384,"obs","34","1993"
"272",1996,34,0.0830695,"obs","34","1996"
"273",1999,34,0.079783,"obs","34","1999"
"274",2001,34,0.0746301,"obs","34","2001"
"275",2003,34,0.064424,"obs","34","2003"
"276",2005,34,0.0745202,"obs","34","2005"
"277",2007,34,0.0953243,"obs","34","2007"
"278",2009,34,0.0761509,"obs","34","2009"
"279",2011,34,0.0616748,"obs","34","2011"
"280",2013,34,0.0426162,"obs","34","2013"
"281",2015,34,0.0547697,"obs","34","2015"
"282",2017,34,0.0511127,"obs","34","2017"
"283",2019,34,0.0486985,"obs","34","2019"
"284",2021,34,0.0733436,"obs","34","2021"
"285",2023,34,0.0147696,"obs","34","2023"
"286",1993,35,0.100908,"obs","35","1993"
"287",1996,35,0.119486,"obs","35","1996"
"288",1999,35,0.0774505,"obs","35","1999"
"289",2001,35,0.0648107,"obs","35","2001"
"290",2003,35,0.0869286,"obs","35","2003"
"291",2005,35,0.0707452,"obs","35","2005"
"292",2007,35,0.09882,"obs","35","2007"
"293",2009,35,0.0909923,"obs","35","2009"
"294",2011,35,0.0927273,"obs","35","2011"
"295",2013,35,0.0653467,"obs","35","2013"
"296",2015,35,0.0559347,"obs","35","2015"
"297",2017,35,0.068002,"obs","35","2017"
"298",2019,35,0.0638429,"obs","35","2019"
"299",2021,35,0.101248,"obs","35","2021"
"300",2023,35,0.0252361,"obs","35","2023"
"301",1993,36,0.0893211,"obs","36","1993"
"302",1996,36,0.143378,"obs","36","1996"
"303",1999,36,0.121015,"obs","36","1999"
"304",2001,36,0.0522643,"obs","36","2001"
"305",2003,36,0.0997724,"obs","36","2003"
"306",2005,36,0.0886983,"obs","36","2005"
"307",2007,36,0.110398,"obs","36","2007"
"308",2009,36,0.0888467,"obs","36","2009"
"309",2011,36,0.110822,"obs","36","2011"
"310",2013,36,0.0946747,"obs","36","2013"
"311",2015,36,0.0714957,"obs","36","2015"
"312",2017,36,0.0851668,"obs","36","2017"
"313",2019,36,0.0903996,"obs","36","2019"
"314",2021,36,0.131625,"obs","36","2021"
"315",2023,36,0.0456108,"obs","36","2023"
"316",1993,37,0.0732033,"obs","37","1993"
"317",1996,37,0.135807,"obs","37","1996"
"318",1999,37,0.11816,"obs","37","1999"
"319",2001,37,0.0654645,"obs","37","2001"
"320",2003,37,0.0978237,"obs","37","2003"
"321",2005,37,0.0793287,"obs","37","2005"
"322",2007,37,0.0926721,"obs","37","2007"
"323",2009,37,0.0930569,"obs","37","2009"
"324",2011,37,0.108475,"obs","37","2011"
"325",2013,37,0.12592,"obs","37","2013"
"326",2015,37,0.0881614,"obs","37","2015"
"327",2017,37,0.0982539,"obs","37","2017"
"328",2019,37,0.100192,"obs","37","2019"
"329",2021,37,0.116303,"obs","37","2021"
"330",2023,37,0.0549614,"obs","37","2023"
"331",1993,38,0.0554755,"obs","38","1993"
"332",1996,38,0.093856,"obs","38","1996"
"333",1999,38,0.111557,"obs","38","1999"
"334",2001,38,0.090944,"obs","38","2001"
"335",2003,38,0.0861343,"obs","38","2003"
"336",2005,38,0.0821895,"obs","38","2005"
"337",2007,38,0.0824563,"obs","38","2007"
"338",2009,38,0.0851311,"obs","38","2009"
"339",2011,38,0.0890633,"obs","38","2011"
"340",2013,38,0.123034,"obs","38","2013"
"341",2015,38,0.101997,"obs","38","2015"
"342",2017,38,0.134239,"obs","38","2017"
"343",2019,38,0.109326,"obs","38","2019"
"344",2021,38,0.0969688,"obs","38","2021"
"345",2023,38,0.086472,"obs","38","2023"
"346",1993,39,0.0442212,"obs","39","1993"
"347",1996,39,0.0720643,"obs","39","1996"
"348",1999,39,0.100538,"obs","39","1999"
"349",2001,39,0.0842963,"obs","39","2001"
"350",2003,39,0.07266,"obs","39","2003"
"351",2005,39,0.0753128,"obs","39","2005"
"352",2007,39,0.0773029,"obs","39","2007"
"353",2009,39,0.0694943,"obs","39","2009"
"354",2011,39,0.0688807,"obs","39","2011"
"355",2013,39,0.105066,"obs","39","2013"
"356",2015,39,0.0980699,"obs","39","2015"
"357",2017,39,0.133818,"obs","39","2017"
"358",2019,39,0.102844,"obs","39","2019"
"359",2021,39,0.0982492,"obs","39","2021"
"360",2023,39,0.119733,"obs","39","2023"
"361",1993,40,0.031722,"obs","40","1993"
"362",1996,40,0.0486991,"obs","40","1996"
"363",1999,40,0.0506166,"obs","40","1999"
"364",2001,40,0.0621161,"obs","40","2001"
"365",2003,40,0.0586675,"obs","40","2003"
"366",2005,40,0.0612615,"obs","40","2005"
"367",2007,40,0.0603092,"obs","40","2007"
"368",2009,40,0.053931,"obs","40","2009"
"369",2011,40,0.0524748,"obs","40","2011"
"370",2013,40,0.0666965,"obs","40","2013"
"371",2015,40,0.0841012,"obs","40","2015"
"372",2017,40,0.103586,"obs","40","2017"
"373",2019,40,0.0869501,"obs","40","2019"
"374",2021,40,0.0879938,"obs","40","2021"
"375",2023,40,0.133107,"obs","40","2023"
"376",1993,41,0.0205352,"obs","41","1993"
"377",1996,41,0.0273124,"obs","41","1996"
"378",1999,41,0.0457711,"obs","41","1999"
"379",2001,41,0.0252664,"obs","41","2001"
"380",2003,41,0.0411681,"obs","41","2003"
"381",2005,41,0.0402452,"obs","41","2005"
"382",2007,41,0.0429046,"obs","41","2007"
"383",2009,41,0.0369609,"obs","41","2009"
"384",2011,41,0.0368323,"obs","41","2011"
"385",2013,41,0.0463169,"obs","41","2013"
"386",2015,41,0.0657164,"obs","41","2015"
"387",2017,41,0.0816457,"obs","41","2017"
"388",2019,41,0.0552268,"obs","41","2019"
"389",2021,41,0.0636431,"obs","41","2021"
"390",2023,41,0.111334,"obs","41","2023"
"391",1993,42,0.0194072,"obs","42","1993"
"392",1996,42,0.0161899,"obs","42","1996"
"393",1999,42,0.0261544,"obs","42","1999"
"394",2001,42,0.0116606,"obs","42","2001"
"395",2003,42,0.0226744,"obs","42","2003"
"396",2005,42,0.0212071,"obs","42","2005"
"397",2007,42,0.0292119,"obs","42","2007"
"398",2009,42,0.0218143,"obs","42","2009"
"399",2011,42,0.0226588,"obs","42","2011"
"400",2013,42,0.0237707,"obs","42","2013"
"401",2015,42,0.0414261,"obs","42","2015"
"402",2017,42,0.0446878,"obs","42","2017"
"403",2019,42,0.0323461,"obs","42","2019"
"404",2021,42,0.0332289,"obs","42","2021"
"405",2023,42,0.0750313,"obs","42","2023"
"406",1993,43,0.0143876,"obs","43","1993"
"407",1996,43,0.0112914,"obs","43","1996"
"408",1999,43,0.0125207,"obs","43","1999"
"409",2001,43,0.00325446,"obs","43","2001"
"410",2003,43,0.0150305,"obs","43","2003"
"411",2005,43,0.00814489,"obs","43","2005"
"412",2007,43,0.0141379,"obs","43","2007"
"413",2009,43,0.0126236,"obs","43","2009"
"414",2011,43,0.011418,"obs","43","2011"
"415",2013,43,0.0115877,"obs","43","2013"
"416",2015,43,0.0230404,"obs","43","2015"
"417",2017,43,0.0236221,"obs","43","2017"
"418",2019,43,0.014671,"obs","43","2019"
"419",2021,43,0.0179607,"obs","43","2021"
"420",2023,43,0.0595285,"obs","43","2023"
"421",1993,44,0.00804496,"obs","44","1993"
"422",1996,44,0.00657656,"obs","44","1996"
"423",1999,44,0.00394393,"obs","44","1999"
"424",2001,44,0.0018292,"obs","44","2001"
"425",2003,44,0.00848924,"obs","44","2003"
"426",2005,44,0.0046644,"obs","44","2005"
"427",2007,44,0.00702025,"obs","44","2007"
"428",2009,44,0.00482203,"obs","44","2009"
"429",2011,44,0.00585493,"obs","44","2011"
"430",2013,44,0.00581113,"obs","44","2013"
"431",2015,44,0.0118282,"obs","44","2015"
"432",2017,44,0.0106681,"obs","44","2017"
"433",2019,44,0.00508813,"obs","44","2019"
"434",2021,44,0.00450174,"obs","44","2021"
"435",2023,44,0.0290535,"obs","44","2023"
"436",1993,45,0.00459328,"obs","45","1993"
"437",1996,45,0.00560914,"obs","45","1996"
"438",1999,45,0.00235437,"obs","45","1999"
"439",2001,45,0.00080259,"obs","45","2001"
"440",2003,45,0.00947644,"obs","45","2003"
"441",2005,45,0.00269607,"obs","45","2005"
"442",2007,45,0.00448131,"obs","45","2007"
"443",2009,45,0.00393396,"obs","45","2009"
"444",2011,45,0.00324153,"obs","45","2011"
"445",2013,45,0.00300057,"obs","45","2013"
"446",2015,45,0.00729436,"obs","45","2015"
"447",2017,45,0.00993517,"obs","45","2017"
"448",2019,45,0.00515281,"obs","45","2019"
"449",2021,45,0.00284086,"obs","45","2021"
"450",2023,45,0.0401245,"obs","45","2023"
