"","CRUISEJOIN","REGION","SPECIES_CODE","LENGTH","FREQUENCY","YEAR","PERFORMANCE","HAULJOIN"
"107",-608,"GOA",30060,320,1,2005,0,-12896
"108",-608,"GOA",30060,310,1,2005,0,-12896
"109",-608,"GOA",30060,310,1,2005,0,-12896
"110",-608,"GOA",30060,320,5,2005,0,-12896
"111",-608,"GOA",30060,330,12,2005,0,-12896
"112",-608,"GOA",30060,330,8,2005,0,-12896
"113",-608,"GOA",30060,340,14,2005,0,-12896
"114",-608,"GOA",30060,340,8,2005,0,-12896
"115",-608,"GOA",30060,350,9,2005,0,-12896
"116",-608,"GOA",30060,350,17,2005,0,-12896
"117",-608,"GOA",30060,360,9,2005,0,-12896
"118",-608,"GOA",30060,360,8,2005,0,-12896
"119",-608,"GOA",30060,370,4,2005,0,-12896
"120",-608,"GOA",30060,370,3,2005,0,-12896
"121",-608,"GOA",30060,380,3,2005,0,-12896
"122",-608,"GOA",30060,390,2,2005,0,-12896
"123",-608,"GOA",30060,390,1,2005,0,-12896
"124",-608,"GOA",30060,430,1,2005,0,-12896
"125",-608,"GOA",30060,330,1,2005,0,-12912
"126",-608,"GOA",30060,340,1,2005,1.11,-12914
"127",-608,"GOA",30060,360,1,2005,1.11,-12914
"128",-608,"GOA",30060,330,1,2005,0,-12915
"129",-608,"GOA",30060,260,1,2005,0,-12928
"130",-608,"GOA",30060,280,1,2005,0,-12928
"131",-608,"GOA",30060,280,1,2005,0,-12928
"132",-608,"GOA",30060,220,1,2005,0,-12929
"133",-608,"GOA",30060,130,1,2005,0,-12929
"134",-608,"GOA",30060,200,3,2005,0,-12929
"135",-608,"GOA",30060,200,1,2005,0,-12929
"136",-608,"GOA",30060,210,1,2005,0,-12929
"137",-608,"GOA",30060,230,1,2005,0,-12929
"138",-608,"GOA",30060,250,1,2005,0,-12929
"139",-608,"GOA",30060,260,1,2005,0,-12929
"140",-608,"GOA",30060,270,1,2005,0,-12929
"141",-608,"GOA",30060,290,1,2005,0,-12929
"142",-608,"GOA",30060,300,3,2005,0,-12929
"143",-608,"GOA",30060,310,1,2005,0,-12929
"144",-608,"GOA",30060,320,1,2005,0,-12929
"145",-608,"GOA",30060,350,1,2005,0,-12929
"146",-608,"GOA",30060,370,1,2005,0,-12929
"147",-608,"GOA",30060,350,1,2005,6,-12930
"148",-608,"GOA",30060,270,1,2005,1.11,-12933
"149",-608,"GOA",30060,180,1,2005,1.11,-12933
"150",-608,"GOA",30060,240,1,2005,1.11,-12933
"151",-608,"GOA",30060,260,2,2005,1.11,-12933
"152",-608,"GOA",30060,260,1,2005,1.11,-12933
"153",-608,"GOA",30060,280,1,2005,1.11,-12933
"154",-608,"GOA",30060,300,2,2005,1.11,-12933
"155",-608,"GOA",30060,310,1,2005,1.11,-12933
"156",-608,"GOA",30060,320,1,2005,1.11,-12933
"157",-608,"GOA",30060,350,2,2005,1.11,-12933
"158",-608,"GOA",30060,360,1,2005,1.11,-12933
"159",-608,"GOA",30060,370,2,2005,1.11,-12933
"160",-608,"GOA",30060,370,1,2005,1.11,-12933
"161",-608,"GOA",30060,380,2,2005,1.11,-12933
"162",-608,"GOA",30060,400,1,2005,1.11,-12933
"163",-608,"GOA",30060,410,1,2005,1.11,-12933
"164",-608,"GOA",30060,360,2,2005,0,-12934
"165",-608,"GOA",30060,370,1,2005,0,-12934
"166",-608,"GOA",30060,240,1,2005,0,-12935
"167",-608,"GOA",30060,130,1,2005,0,-12935
"168",-608,"GOA",30060,210,1,2005,0,-12935
"169",-608,"GOA",30060,230,1,2005,0,-12935
"170",-608,"GOA",30060,240,1,2005,0,-12935
"171",-608,"GOA",30060,250,1,2005,0,-12935
"172",-608,"GOA",30060,260,1,2005,0,-12935
"173",-608,"GOA",30060,260,1,2005,0,-12935
"174",-608,"GOA",30060,270,7,2005,0,-12935
"175",-608,"GOA",30060,270,6,2005,0,-12935
"176",-608,"GOA",30060,280,8,2005,0,-12935
"177",-608,"GOA",30060,280,5,2005,0,-12935
"178",-608,"GOA",30060,290,4,2005,0,-12935
"179",-608,"GOA",30060,290,2,2005,0,-12935
"180",-608,"GOA",30060,300,2,2005,0,-12935
"181",-608,"GOA",30060,300,2,2005,0,-12935
"182",-608,"GOA",30060,310,4,2005,0,-12935
"183",-608,"GOA",30060,310,3,2005,0,-12935
"184",-608,"GOA",30060,320,2,2005,0,-12935
"185",-608,"GOA",30060,320,4,2005,0,-12935
"186",-608,"GOA",30060,330,1,2005,0,-12935
"187",-608,"GOA",30060,360,1,2005,0,-12935
"188",-608,"GOA",30060,260,3,2005,2.1,-12936
"189",-608,"GOA",30060,230,1,2005,2.1,-12936
"190",-608,"GOA",30060,250,2,2005,2.1,-12936
"191",-608,"GOA",30060,260,2,2005,2.1,-12936
"192",-608,"GOA",30060,270,8,2005,2.1,-12936
"193",-608,"GOA",30060,270,6,2005,2.1,-12936
"194",-608,"GOA",30060,280,6,2005,2.1,-12936
"195",-608,"GOA",30060,280,7,2005,2.1,-12936
"196",-608,"GOA",30060,290,9,2005,2.1,-12936
"197",-608,"GOA",30060,290,12,2005,2.1,-12936
"198",-608,"GOA",30060,300,7,2005,2.1,-12936
"199",-608,"GOA",30060,300,11,2005,2.1,-12936
"200",-608,"GOA",30060,310,9,2005,2.1,-12936
"201",-608,"GOA",30060,310,19,2005,2.1,-12936
"202",-608,"GOA",30060,320,7,2005,2.1,-12936
"203",-608,"GOA",30060,320,4,2005,2.1,-12936
"204",-608,"GOA",30060,330,1,2005,2.1,-12936
"205",-608,"GOA",30060,330,1,2005,2.1,-12936
"206",-608,"GOA",30060,340,1,2005,2.1,-12936
"207",-608,"GOA",30060,360,1,2005,2.1,-12936
"208",-608,"GOA",30060,320,3,2005,5.8,-12938
"209",-608,"GOA",30060,280,1,2005,5.8,-12938
"210",-608,"GOA",30060,310,1,2005,5.8,-12938
"211",-608,"GOA",30060,320,3,2005,5.8,-12938
"212",-608,"GOA",30060,330,4,2005,5.8,-12938
"213",-608,"GOA",30060,330,2,2005,5.8,-12938
"214",-608,"GOA",30060,340,13,2005,5.8,-12938
"215",-608,"GOA",30060,340,9,2005,5.8,-12938
"216",-608,"GOA",30060,350,5,2005,5.8,-12938
"217",-608,"GOA",30060,350,6,2005,5.8,-12938
"218",-608,"GOA",30060,360,5,2005,5.8,-12938
"219",-608,"GOA",30060,360,6,2005,5.8,-12938
"220",-608,"GOA",30060,370,3,2005,5.8,-12938
"221",-608,"GOA",30060,370,5,2005,5.8,-12938
"222",-608,"GOA",30060,380,2,2005,5.8,-12938
"223",-608,"GOA",30060,380,3,2005,5.8,-12938
"224",-608,"GOA",30060,390,1,2005,5.8,-12938
"225",-608,"GOA",30060,390,2,2005,5.8,-12938
"226",-608,"GOA",30060,400,1,2005,5.8,-12938
"227",-608,"GOA",30060,420,1,2005,5.8,-12938
"228",-608,"GOA",30060,430,1,2005,5.8,-12938
"229",-608,"GOA",30060,240,2,2005,0,-12939
"230",-608,"GOA",30060,190,2,2005,0,-12939
"231",-608,"GOA",30060,220,1,2005,0,-12939
"232",-608,"GOA",30060,240,3,2005,0,-12939
"233",-608,"GOA",30060,250,2,2005,0,-12939
"234",-608,"GOA",30060,250,2,2005,0,-12939
"235",-608,"GOA",30060,260,5,2005,0,-12939
"236",-608,"GOA",30060,260,2,2005,0,-12939
"237",-608,"GOA",30060,270,3,2005,0,-12939
"238",-608,"GOA",30060,270,1,2005,0,-12939
"239",-608,"GOA",30060,280,2,2005,0,-12939
"240",-608,"GOA",30060,280,1,2005,0,-12939
"241",-608,"GOA",30060,290,5,2005,0,-12939
"242",-608,"GOA",30060,290,4,2005,0,-12939
"243",-608,"GOA",30060,300,8,2005,0,-12939
"244",-608,"GOA",30060,300,15,2005,0,-12939
"245",-608,"GOA",30060,310,16,2005,0,-12939
"246",-608,"GOA",30060,310,12,2005,0,-12939
"247",-608,"GOA",30060,320,4,2005,0,-12939
"248",-608,"GOA",30060,320,11,2005,0,-12939
"249",-608,"GOA",30060,330,7,2005,0,-12939
"250",-608,"GOA",30060,330,9,2005,0,-12939
"251",-608,"GOA",30060,340,7,2005,0,-12939
"252",-608,"GOA",30060,340,1,2005,0,-12939
"253",-608,"GOA",30060,350,3,2005,0,-12939
"254",-608,"GOA",30060,350,1,2005,0,-12939
"255",-608,"GOA",30060,360,4,2005,0,-12939
"256",-608,"GOA",30060,360,4,2005,0,-12939
"257",-608,"GOA",30060,370,3,2005,0,-12939
"258",-608,"GOA",30060,370,1,2005,0,-12939
"259",-608,"GOA",30060,380,3,2005,0,-12939
"260",-608,"GOA",30060,380,3,2005,0,-12939
"261",-608,"GOA",30060,390,1,2005,0,-12939
"262",-608,"GOA",30060,400,1,2005,0,-12939
"263",-608,"GOA",30060,410,1,2005,0,-12939
"264",-608,"GOA",30060,320,1,2005,0,-12940
"265",-608,"GOA",30060,200,2,2005,0,-12940
"266",-608,"GOA",30060,210,1,2005,0,-12940
"267",-608,"GOA",30060,290,1,2005,0,-12940
"268",-608,"GOA",30060,370,1,2005,0,-12940
"269",-608,"GOA",30060,170,1,2005,6.3,-12947
"270",-608,"GOA",30060,200,1,2005,6.3,-12947
"271",-608,"GOA",30060,200,1,2005,0,-12954
"272",-608,"GOA",30060,370,1,2005,0,-12956
"273",-608,"GOA",30060,280,1,2005,0,-12956
"274",-608,"GOA",30060,330,1,2005,0,-12956
"275",-608,"GOA",30060,330,1,2005,0,-12956
"276",-608,"GOA",30060,340,1,2005,0,-12956
"277",-608,"GOA",30060,340,2,2005,0,-12956
"278",-608,"GOA",30060,350,1,2005,0,-12956
"279",-608,"GOA",30060,120,1,2005,0,-12958
"280",-608,"GOA",30060,150,1,2005,0,-12958
"281",-608,"GOA",30060,180,1,2005,0,-12959
"282",-608,"GOA",30060,90,1,2005,0,-12959
"283",-608,"GOA",30060,150,1,2005,0,-12959
"284",-608,"GOA",30060,150,1,2005,0,-12959
"285",-608,"GOA",30060,210,3,2005,0,-12962
"286",-608,"GOA",30060,120,1,2005,0,-12962
"287",-608,"GOA",30060,180,1,2005,0,-12962
"288",-608,"GOA",30060,180,2,2005,0,-12962
"289",-608,"GOA",30060,220,3,2005,0,-12962
"290",-608,"GOA",30060,220,1,2005,0,-12962
"291",-608,"GOA",30060,230,1,2005,0,-12962
"292",-608,"GOA",30060,230,1,2005,0,-12962
"293",-608,"GOA",30060,240,2,2005,0,-12962
"294",-608,"GOA",30060,250,1,2005,0,-12962
"295",-608,"GOA",30060,250,1,2005,0,-12962
"296",-608,"GOA",30060,260,5,2005,0,-12962
"297",-608,"GOA",30060,260,7,2005,0,-12962
"298",-608,"GOA",30060,270,6,2005,0,-12962
"299",-608,"GOA",30060,270,8,2005,0,-12962
"300",-608,"GOA",30060,280,6,2005,0,-12962
"301",-608,"GOA",30060,280,4,2005,0,-12962
"302",-608,"GOA",30060,290,3,2005,0,-12962
"303",-608,"GOA",30060,290,9,2005,0,-12962
"304",-608,"GOA",30060,300,4,2005,0,-12962
"305",-608,"GOA",30060,300,6,2005,0,-12962
"306",-608,"GOA",30060,310,4,2005,0,-12962
"307",-608,"GOA",30060,310,4,2005,0,-12962
"308",-608,"GOA",30060,320,2,2005,0,-12962
"309",-608,"GOA",30060,320,3,2005,0,-12962
"310",-608,"GOA",30060,330,1,2005,0,-12962
"311",-608,"GOA",30060,360,1,2005,0,-12962
"312",-608,"GOA",30060,370,1,2005,0,-12962
"313",-608,"GOA",30060,370,1,2005,0,-12962
"314",-608,"GOA",30060,330,7,2005,0,-12963
"315",-608,"GOA",30060,70,1,2005,0,-12963
"316",-608,"GOA",30060,320,4,2005,0,-12963
"317",-608,"GOA",30060,320,1,2005,0,-12963
"318",-608,"GOA",30060,330,3,2005,0,-12963
"319",-608,"GOA",30060,340,7,2005,0,-12963
"320",-608,"GOA",30060,340,7,2005,0,-12963
"321",-608,"GOA",30060,350,9,2005,0,-12963
"322",-608,"GOA",30060,350,14,2005,0,-12963
"323",-608,"GOA",30060,360,9,2005,0,-12963
"324",-608,"GOA",30060,360,11,2005,0,-12963
"325",-608,"GOA",30060,370,1,2005,0,-12963
"326",-608,"GOA",30060,370,8,2005,0,-12963
"327",-608,"GOA",30060,380,7,2005,0,-12963
"328",-608,"GOA",30060,390,2,2005,0,-12963
"329",-608,"GOA",30060,400,1,2005,0,-12963
"330",-608,"GOA",30060,410,1,2005,0,-12963
"331",-608,"GOA",30060,370,1,2005,0,-12964
"332",-608,"GOA",30060,120,1,2005,0,-12969
"333",-608,"GOA",30060,140,1,2005,0,-12969
"334",-608,"GOA",30060,220,1,2005,1.1,-12970
"335",-608,"GOA",30060,100,1,2005,1.1,-12970
"336",-608,"GOA",30060,130,1,2005,1.1,-12970
"337",-608,"GOA",30060,190,1,2005,1.1,-12970
"338",-608,"GOA",30060,210,2,2005,1.1,-12970
"339",-608,"GOA",30060,200,1,2005,0,-12971
"340",-608,"GOA",30060,200,2,2005,0,-12971
"341",-608,"GOA",30060,210,1,2005,0,-12971
"342",-608,"GOA",30060,210,1,2005,0,-12971
"343",-608,"GOA",30060,230,1,2005,0,-12971
"344",-608,"GOA",30060,240,1,2005,0,-12971
"345",-608,"GOA",30060,240,4,2005,0,-12971
"346",-608,"GOA",30060,250,2,2005,0,-12971
"347",-608,"GOA",30060,250,2,2005,0,-12971
"348",-608,"GOA",30060,370,1,2005,0,-12971
"349",-608,"GOA",30060,280,2,2005,0,-12971
"350",-608,"GOA",30060,290,1,2005,0,-12971
"351",-608,"GOA",30060,310,1,2005,0,-12971
"352",-608,"GOA",30060,300,1,2005,0,-12975
"353",-608,"GOA",30060,230,1,2005,0,-12975
"354",-608,"GOA",30060,280,1,2005,0,-12975
"355",-608,"GOA",30060,280,1,2005,0,-12975
"356",-608,"GOA",30060,300,1,2005,0,-12975
"357",-608,"GOA",30060,320,1,2005,0,-12975
"358",-608,"GOA",30060,330,1,2005,0,-12975
"359",-608,"GOA",30060,340,1,2005,0,-12975
"360",-608,"GOA",30060,350,1,2005,0,-12975
"361",-608,"GOA",30060,370,1,2005,0,-12975
"362",-608,"GOA",30060,380,1,2005,0,-12975
"363",-608,"GOA",30060,380,1,2005,0,-12975
"364",-608,"GOA",30060,420,1,2005,0,-12975
"365",-608,"GOA",30060,320,1,2005,0,-12976
"366",-608,"GOA",30060,280,2,2005,0,-12976
"367",-608,"GOA",30060,290,1,2005,0,-12976
"368",-608,"GOA",30060,300,1,2005,0,-12976
"369",-608,"GOA",30060,320,1,2005,0,-12976
"370",-608,"GOA",30060,440,1,2005,0,-12976
"371",-608,"GOA",30060,450,1,2005,0,-12976
"372",-608,"GOA",30060,280,1,2005,0,-12978
"373",-608,"GOA",30060,180,1,2005,0,-12978
"374",-608,"GOA",30060,240,1,2005,0,-12978
"375",-608,"GOA",30060,250,2,2005,0,-12978
"376",-608,"GOA",30060,280,2,2005,0,-12978
"377",-608,"GOA",30060,290,2,2005,0,-12978
"378",-608,"GOA",30060,290,2,2005,0,-12978
"379",-608,"GOA",30060,300,1,2005,0,-12978
"380",-608,"GOA",30060,300,2,2005,0,-12978
"381",-608,"GOA",30060,310,2,2005,0,-12978
"382",-608,"GOA",30060,310,3,2005,0,-12978
"383",-608,"GOA",30060,320,3,2005,0,-12978
"384",-608,"GOA",30060,330,4,2005,0,-12978
"385",-608,"GOA",30060,330,2,2005,0,-12978
"386",-608,"GOA",30060,340,11,2005,0,-12978
"387",-608,"GOA",30060,340,9,2005,0,-12978
"388",-608,"GOA",30060,350,14,2005,0,-12978
"389",-608,"GOA",30060,350,14,2005,0,-12978
"390",-608,"GOA",30060,360,14,2005,0,-12978
"391",-608,"GOA",30060,360,15,2005,0,-12978
"392",-608,"GOA",30060,370,13,2005,0,-12978
"393",-608,"GOA",30060,370,19,2005,0,-12978
"394",-608,"GOA",30060,380,11,2005,0,-12978
"395",-608,"GOA",30060,380,16,2005,0,-12978
"396",-608,"GOA",30060,390,3,2005,0,-12978
"397",-608,"GOA",30060,390,20,2005,0,-12978
"398",-608,"GOA",30060,400,2,2005,0,-12978
"399",-608,"GOA",30060,400,11,2005,0,-12978
"400",-608,"GOA",30060,410,9,2005,0,-12978
"401",-608,"GOA",30060,420,1,2005,0,-12978
"402",-608,"GOA",30060,420,5,2005,0,-12978
"403",-608,"GOA",30060,430,9,2005,0,-12978
"404",-608,"GOA",30060,440,1,2005,0,-12978
"405",-608,"GOA",30060,180,3,2005,0,-12979
"406",-608,"GOA",30060,190,2,2005,0,-12979
"407",-608,"GOA",30060,190,3,2005,0,-12979
"408",-608,"GOA",30060,200,5,2005,0,-12979
"409",-608,"GOA",30060,200,3,2005,0,-12979
"410",-608,"GOA",30060,210,2,2005,0,-12979
"411",-608,"GOA",30060,210,1,2005,0,-12979
"412",-608,"GOA",30060,220,4,2005,0,-12979
"413",-608,"GOA",30060,220,3,2005,0,-12979
"414",-608,"GOA",30060,230,1,2005,0,-12979
"415",-608,"GOA",30060,230,1,2005,0,-12979
"416",-608,"GOA",30060,250,3,2005,0,-12979
"417",-608,"GOA",30060,240,1,2005,0,-12979
"418",-608,"GOA",30060,240,4,2005,0,-12979
"419",-608,"GOA",30060,250,1,2005,0,-12979
"420",-608,"GOA",30060,260,4,2005,0,-12979
"421",-608,"GOA",30060,260,5,2005,0,-12979
"422",-608,"GOA",30060,270,4,2005,0,-12979
"423",-608,"GOA",30060,270,4,2005,0,-12979
"424",-608,"GOA",30060,280,5,2005,0,-12979
"425",-608,"GOA",30060,280,3,2005,0,-12979
"426",-608,"GOA",30060,290,3,2005,0,-12979
"427",-608,"GOA",30060,290,4,2005,0,-12979
"428",-608,"GOA",30060,300,1,2005,0,-12979
"429",-608,"GOA",30060,300,1,2005,0,-12979
"430",-608,"GOA",30060,310,1,2005,0,-12979
"431",-608,"GOA",30060,310,7,2005,0,-12979
"432",-608,"GOA",30060,320,8,2005,0,-12979
"433",-608,"GOA",30060,320,13,2005,0,-12979
"434",-608,"GOA",30060,330,9,2005,0,-12979
"435",-608,"GOA",30060,330,10,2005,0,-12979
"436",-608,"GOA",30060,340,13,2005,0,-12979
"437",-608,"GOA",30060,340,6,2005,0,-12979
"438",-608,"GOA",30060,350,3,2005,0,-12979
"439",-608,"GOA",30060,360,5,2005,0,-12979
"440",-608,"GOA",30060,370,1,2005,0,-12979
"441",-608,"GOA",30060,370,1,2005,0,-12979
"442",-608,"GOA",30060,380,2,2005,0,-12979
"443",-608,"GOA",30060,390,1,2005,0,-12979
"444",-608,"GOA",30060,400,2,2005,0,-12979
"445",-608,"GOA",30060,400,2,2005,0,-12979
"446",-608,"GOA",30060,410,1,2005,0,-12979
"447",-608,"GOA",30060,410,1,2005,0,-12979
"448",-608,"GOA",30060,420,1,2005,0,-12979
"449",-608,"GOA",30060,420,1,2005,0,-12979
"450",-608,"GOA",30060,430,1,2005,0,-12979
"451",-608,"GOA",30060,440,1,2005,0,-12979
"452",-608,"GOA",30060,260,1,2005,0,-12980
"453",-608,"GOA",30060,240,1,2005,0,-12980
"454",-608,"GOA",30060,240,1,2005,0,-12980
"455",-608,"GOA",30060,250,1,2005,0,-12980
"456",-608,"GOA",30060,270,3,2005,0,-12980
"457",-608,"GOA",30060,270,1,2005,0,-12980
"458",-608,"GOA",30060,280,1,2005,0,-12980
"459",-608,"GOA",30060,280,1,2005,0,-12980
"460",-608,"GOA",30060,290,3,2005,0,-12980
"461",-608,"GOA",30060,300,1,2005,0,-12980
"462",-608,"GOA",30060,300,1,2005,0,-12980
"463",-608,"GOA",30060,310,4,2005,0,-12980
"464",-608,"GOA",30060,310,2,2005,0,-12980
"465",-608,"GOA",30060,320,4,2005,0,-12980
"466",-608,"GOA",30060,320,1,2005,0,-12980
"467",-608,"GOA",30060,330,6,2005,0,-12980
"468",-608,"GOA",30060,330,3,2005,0,-12980
"469",-608,"GOA",30060,340,5,2005,0,-12980
"470",-608,"GOA",30060,340,7,2005,0,-12980
"471",-608,"GOA",30060,350,11,2005,0,-12980
"472",-608,"GOA",30060,350,4,2005,0,-12980
"473",-608,"GOA",30060,360,15,2005,0,-12980
"474",-608,"GOA",30060,360,25,2005,0,-12980
"475",-608,"GOA",30060,370,14,2005,0,-12980
"476",-608,"GOA",30060,370,24,2005,0,-12980
"477",-608,"GOA",30060,380,14,2005,0,-12980
"478",-608,"GOA",30060,380,14,2005,0,-12980
"479",-608,"GOA",30060,390,8,2005,0,-12980
"480",-608,"GOA",30060,390,16,2005,0,-12980
"481",-608,"GOA",30060,400,1,2005,0,-12980
"482",-608,"GOA",30060,400,12,2005,0,-12980
"483",-608,"GOA",30060,410,10,2005,0,-12980
"484",-608,"GOA",30060,420,4,2005,0,-12980
"485",-608,"GOA",30060,430,3,2005,0,-12980
"486",-608,"GOA",30060,340,1,2005,0,-12981
"487",-608,"GOA",30060,370,1,2005,0,-12981
"488",-608,"GOA",30060,430,1,2005,0,-12981
"489",-608,"GOA",30060,320,1,2005,0,-12982
"490",-608,"GOA",30060,230,1,2005,0,-12982
"491",-608,"GOA",30060,270,1,2005,0,-12982
"492",-608,"GOA",30060,330,1,2005,0,-12982
"493",-608,"GOA",30060,340,1,2005,0,-12982
"494",-608,"GOA",30060,350,1,2005,0,-12982
"495",-608,"GOA",30060,360,1,2005,0,-12982
"496",-608,"GOA",30060,360,1,2005,0,-12982
"497",-608,"GOA",30060,370,3,2005,0,-12982
"498",-608,"GOA",30060,370,2,2005,0,-12982
"499",-608,"GOA",30060,380,1,2005,0,-12982
"500",-608,"GOA",30060,380,1,2005,0,-12982
"501",-608,"GOA",30060,390,3,2005,0,-12982
"502",-608,"GOA",30060,390,1,2005,0,-12982
"503",-608,"GOA",30060,410,1,2005,0,-12982
"504",-608,"GOA",30060,410,2,2005,0,-12982
"505",-608,"GOA",30060,220,1,2005,0,-12983
"506",-608,"GOA",30060,180,1,2005,0,-12983
"507",-608,"GOA",30060,200,1,2005,0,-12983
"508",-608,"GOA",30060,210,2,2005,0,-12983
