"","SURVEY","YEAR","SPECIES_CODE","LENGTH","MALES","FEMALES","UNSEXED","TOTAL"
"102","GOA",2021,30060,440,1011299,9131390,0,10142689
"103","GOA",2021,30060,210,11678853,10767423,0,22446276
"104","GOA",1984,30060,320,12492396,17915438,8022799,38430634
"105","GOA",1984,30060,340,23319847,24596724,19849538,67766110
"106","GOA",1984,30060,330,23304468,24391109,12047119,59742696
"107","GOA",1984,30060,120,0,0,513601,513601
"108","GOA",1984,30060,80,0,0,93097,93097
"109","GOA",1984,30060,250,3728545,3020486,4724444,11473475
"110","GOA",1984,30060,190,429588,293995,354219,1077802
"111","GOA",1984,30060,390,4377472,6200498,2822868,13400838
"112","GOA",1984,30060,180,408976,121183,232666,762825
"113","GOA",1984,30060,140,34817,38346,763135,836297
"114","GOA",1984,30060,470,4748,2161,24656,31565
"115","GOA",1984,30060,100,0,0,161368,161368
"116","GOA",1987,30060,110,0,23460,0,23460
"117","GOA",1987,30060,420,1326744,5342401,0,6669145
"118","GOA",1987,30060,430,1161777,6001227,13809,7176812
"119","GOA",1987,30060,450,24537,2755185,0,2779721
"120","GOA",1987,30060,500,0,7708,0,7708
"121","GOA",1987,30060,330,20377302,14958944,0,35336247
"122","GOA",1987,30060,260,6978510,6406382,0,13384892
"123","GOA",1987,30060,410,3802494,4848296,13809,8664598
"124","GOA",1987,30060,180,3742251,1971547,1013030,6726828
"125","GOA",1987,30060,190,7706060,4414951,621589,12742600
"126","GOA",1987,30060,340,20098140,14242502,0,34340642
"127","GOA",1987,30060,130,191311,89370,139382,420063
"128","GOA",1987,30060,250,7111756,5832224,10939,12954920
"129","GOA",1987,30060,150,1828510,293094,801715,2923319
"130","GOA",1987,30060,220,5759823,3825063,188165,9773051
"131","GOA",1984,30060,230,2695848,1481942,3645000,7822790
"132","GOA",1984,30060,280,2325051,2341947,2167678,6834676
"133","GOA",1984,30060,360,11733402,13509712,17853588,43096701
"134","GOA",1984,30060,300,3447116,6552979,5322944,15323039
"135","GOA",1984,30060,150,109491,27420,333135,470045
"136","GOA",1987,30060,370,18107130,12418075,0,30525205
"137","GOA",1987,30060,310,7739962,9096962,0,16836925
"138","GOA",1987,30060,140,682097,281584,760143,1723824
"139","GOA",1987,30060,240,6604287,4957888,21878,11584053
"140","GOA",1987,30060,230,6354201,4201454,115960,10671615
"141","GOA",1987,30060,120,7964,31620,39823,79408
"142","GOA",1987,30060,480,0,75748,0,75748
"143","GOA",1987,30060,470,0,156352,27618,183969
"144","GOA",1987,30060,390,10268507,7145235,69189,17482931
"145","GOA",1987,30060,270,7780520,6399260,41572,14221351
"146","GOA",1987,30060,360,22656298,17859776,41426,40557500
"147","GOA",1987,30060,320,13052918,10623949,0,23676867
"148","GOA",1987,30060,350,21710839,12243944,0,33954783
"149","GOA",1987,30060,460,20200,892812,0,913012
"150","GOA",1987,30060,210,6292680,3597686,175478,10065844
"151","GOA",2003,30060,170,1095079,1166746,211795,2473621
"152","GOA",2003,30060,320,12736790,9698079,26002,22460871
"153","GOA",2003,30060,100,0,50104,1146891,1196995
"154","GOA",2003,30060,150,2024003,891565,917220,3832788
"155","GOA",2003,30060,120,87297,133120,295852,516269
"156","GOA",1987,30060,200,8292009,4824036,262553,13378598
"157","GOA",1987,30060,400,4603141,6249309,0,10852450
"158","GOA",1987,30060,300,11010743,8001848,0,19012591
"159","GOA",1987,30060,290,10470484,6941302,0,17411785
"160","GOA",1987,30060,380,12892332,10346127,41426,23279885
"161","GOA",1987,30060,440,97095,4706179,0,4803273
"162","GOA",1987,30060,160,1643696,641372,204363,2489431
"163","GOA",1987,30060,280,6539946,8314688,0,14854635
"164","GOA",1987,30060,170,1606744,1083864,658578,3349186
"165","GOA",2005,30060,400,29588048,52583015,0,82171062
"166","GOA",2005,30060,330,46928492,35877955,0,82806447
"167","GOA",2005,30060,200,9203750,7928865,663693,17796308
"168","GOA",2005,30060,140,263561,183702,82962,530225
"169","GOA",2005,30060,260,13638527,12895801,0,26534328
"170","GOA",2005,30060,190,7911796,6491492,801963,15205250
"171","GOA",2005,30060,210,9578367,7299052,414808,17292227
"172","GOA",2005,30060,290,18547374,19102319,0,37649693
"173","GOA",2005,30060,440,394979,5861464,0,6256443
"174","GOA",2005,30060,100,29640,0,0,29640
"175","GOA",2005,30060,610,0,39656,0,39656
"176","GOA",2005,30060,320,33341794,28340075,0,61681868
"177","GOA",2005,30060,120,84227,67027,20489,171744
"178","GOA",2005,30060,350,50626615,44265114,0,94891729
"179","GOA",2005,30060,370,56972222,49432694,0,106404917
"180","GOA",2005,30060,450,195880,1669367,0,1865247
"181","GOA",2005,30060,180,4819035,3667747,1106155,9592938
"182","GOA",2005,30060,160,449942,603402,525424,1578767
"183","GOA",2005,30060,460,63080,1063854,0,1126934
"184","GOA",2005,30060,110,17655,0,14224,31879
"185","GOA",2005,30060,70,7627,0,0,7627
"186","GOA",2005,30060,270,16026901,15954997,0,31981898
"187","GOA",2005,30060,430,1093872,9831011,0,10924883
"188","GOA",1990,30060,440,248224,1121670,0,1369894
"189","GOA",1990,30060,390,4381810,9886984,0,14268794
"190","GOA",1990,30060,460,34177,830750,0,864927
"191","GOA",1990,30060,470,6081,285522,0,291603
"192","GOA",1990,30060,130,92107,87708,9927,189743
"193","GOA",1990,30060,330,7103591,5534698,0,12638288
"194","GOA",1990,30060,150,255551,138146,88347,482044
"195","GOA",1990,30060,280,7126710,7517070,137330,14781109
"196","GOA",1990,30060,120,38016,0,13209,51226
"197","GOA",1990,30060,400,2716791,12397789,0,15114580
"198","GOA",1990,30060,220,3068108,2992284,309536,6369927
"199","GOA",1990,30060,240,8005388,7091169,974991,16071548
"200","GOA",1990,30060,300,5750727,5742738,0,11493466
"201","GOA",1990,30060,360,8167744,6427112,0,14594855
"202","GOA",1990,30060,370,9905422,7255850,18477,17179750
"203","GOA",1990,30060,270,8349539,7207063,192269,15748871
"204","GOA",1990,30060,190,1753405,1208470,1293631,4255505
"205","GOA",1990,30060,420,1310971,5634250,0,6945221
"206","GOA",1990,30060,110,22089,0,32676,54764
"207","GOA",1990,30060,380,7473640,6784506,0,14258146
"208","GOA",1990,30060,260,10445842,10964531,423771,21834144
"209","GOA",1990,30060,430,829850,1725776,0,2555627
"210","GOA",1990,30060,180,606744,421068,468790,1496602
"211","GOA",1990,30060,170,234290,262624,128208,625123
"212","GOA",1990,30060,500,0,12162,0,12162
"213","GOA",1990,30060,480,0,25823,0,25823
"214","GOA",1990,30060,250,10165105,9320439,1053369,20538914
"215","GOA",1990,30060,450,59025,936138,0,995163
"216","GOA",1990,30060,210,1915973,2115297,466435,4497705
"217","GOA",1990,30060,310,6110433,4485724,6133,10602290
"218","GOA",1990,30060,290,7048769,7845585,61566,14955919
"219","GOA",1990,30060,140,510265,50214,85554,646033
"220","GOA",1990,30060,490,0,6081,0,6081
"221","GOA",1990,30060,230,4062267,3728382,1372061,9162710
"222","GOA",1990,30060,320,5597631,4717372,14129,10329132
"223","GOA",1990,30060,160,101600,80439,33207,215246
"224","GOA",1984,30060,70,0,0,6206,6206
"225","GOA",1984,30060,310,6837498,8217614,6748954,21804066
"226","GOA",1984,30060,420,761499,2709301,231662,3702463
"227","GOA",1984,30060,410,2281567,2883149,679821,5844537
"228","GOA",1984,30060,200,313810,379821,591642,1285274
"229","GOA",1984,30060,450,24029,109812,146143,279983
"230","GOA",1984,30060,90,0,0,148956,148956
"231","GOA",1984,30060,240,3535346,2428497,5723194,11687037
"232","GOA",1990,30060,410,1892911,11345463,0,13238374
"233","GOA",1990,30060,200,1781240,871025,1113636,3765901
"234","GOA",1990,30060,340,8465200,6380212,0,14845412
"235","GOA",1990,30060,350,9509723,7829339,0,17339062
"236","GOA",1984,30060,460,6909,167132,55495,229536
"237","GOA",1993,30060,520,0,10235,0,10235
"238","GOA",1993,30060,210,1544498,1116022,4356071,7016590
"239","GOA",1993,30060,400,12658221,13679096,0,26337317
"240","GOA",1993,30060,200,1072344,1445552,3282121,5800018
"241","GOA",1993,30060,230,1610316,1567285,300062,3477663
"242","GOA",1993,30060,420,3027886,13084997,0,16112883
"243","GOA",1993,30060,480,22397,159049,0,181446
"244","GOA",1993,30060,320,40594328,33416891,112132,74123351
"245","GOA",1993,30060,340,45126184,34770590,5521,79902296
"246","GOA",1993,30060,330,43138991,36791076,123174,80053240
"247","GOA",1993,30060,250,2934642,3277833,590727,6803202
"248","GOA",1993,30060,220,1891637,1589451,2216883,5697971
"249","GOA",1993,30060,460,95609,1105704,0,1201313
"250","GOA",1993,30060,300,19860476,16712386,16563,36589425
"251","GOA",1993,30060,310,31688356,22395273,11042,54094671
"252","GOA",1993,30060,350,47272157,36506779,0,83778936
"253","GOA",1993,30060,360,42305042,31854085,0,74159127
"254","GOA",1993,30060,100,0,3678,0,3678
"255","GOA",1993,30060,430,1620293,10325079,0,11945373
"256","GOA",1993,30060,160,280769,202883,1274827,1758479
"257","GOA",1993,30060,440,316792,6362567,0,6679359
"258","GOA",1993,30060,90,21392,0,0,21392
"259","GOA",1993,30060,110,7265,0,0,7265
"260","GOA",1993,30060,260,7035042,6390124,266628,13691793
"261","GOA",1993,30060,150,444305,207037,1348876,2000218
"262","GOA",1993,30060,380,24891491,21167235,0,46058725
"263","GOA",1993,30060,180,525144,266507,683414,1475066
"264","GOA",1993,30060,120,67877,0,9431,77309
"265","GOA",1993,30060,130,130226,0,127045,257271
"266","GOA",1993,30060,270,10792097,8489281,147154,19428532
"267","GOA",1993,30060,290,12853294,12300299,39079,25192672
"268","GOA",1993,30060,370,34822757,25954565,0,60777322
"269","GOA",1993,30060,450,41685,1965324,0,2007008
"270","GOA",1993,30060,410,3567068,13482344,0,17049413
"271","GOA",1993,30060,140,345312,124676,149492,619480
"272","GOA",1993,30060,490,0,10235,0,10235
"273","GOA",1993,30060,280,11652979,11166975,142713,22962667
"274","GOA",1993,30060,170,391591,214049,371934,977574
"275","GOA",1993,30060,80,0,0,251058,251058
"276","GOA",1993,30060,190,979105,1045122,1575008,3599235
"277","GOA",1993,30060,240,2004462,1624864,552741,4182068
"278","GOA",1993,30060,390,17620220,19094562,0,36714782
"279","GOA",1993,30060,470,31569,371781,0,403350
"280","GOA",2007,30060,460,45131,1217604,0,1262735
"281","GOA",2007,30060,480,0,256273,0,256273
"282","GOA",2007,30060,210,3943165,3557413,0,7500578
"283","GOA",2007,30060,180,2897410,2449316,0,5346727
"284","GOA",2007,30060,90,63339,39199,480226,582763
"285","GOA",2007,30060,490,0,22213,0,22213
"286","GOA",1996,30060,200,1918496,1686944,0,3605441
"287","GOA",1996,30060,440,453680,7598078,0,8051758
"288","GOA",1996,30060,140,2805996,1086638,1160008,5052642
"289","GOA",1996,30060,230,5652341,5396620,0,11048961
"290","GOA",1996,30060,120,95819,252007,115218,463043
"291","GOA",1996,30060,470,25478,709985,0,735462
"292","GOA",1999,30060,220,11406234,9602572,0,21008806
"293","GOA",2007,30060,350,59106015,51038724,0,110144739
"294","GOA",2007,30060,300,9779656,10546281,0,20325937
"295","GOA",2007,30060,370,55405074,47887266,0,103292340
"296","GOA",2007,30060,170,2137204,1912304,87660,4137169
"297","GOA",2007,30060,160,1037404,904048,24414,1965866
"298","GOA",2007,30060,200,3764420,3265655,0,7030075
"299","GOA",1996,30060,550,0,7556,0,7556
"300","GOA",1996,30060,280,18918350,16038934,0,34957284
"301","GOA",1996,30060,310,9536226,9446950,0,18983176
"302","GOA",1996,30060,240,6408972,5247672,5584,11662229
"303","GOA",1996,30060,290,17011670,11795248,0,28806918
"304","GOA",1996,30060,190,1410057,1571795,5584,2987436
"305","GOA",1996,30060,220,4510434,3684204,0,8194637
"306","GOA",1996,30060,450,83806,4233921,0,4317727
"307","GOA",1999,30060,300,5056014,3870653,0,8926667
"308","GOA",1999,30060,370,62040368,80375188,0,142415557
"309","GOA",2007,30060,110,63339,14303,15368,93010
"310","GOA",2007,30060,320,24384461,21961804,0,46346264
"311","GOA",2007,30060,340,61440818,44807623,0,106248441
"312","GOA",1996,30060,100,0,0,24924,24924
"313","GOA",1996,30060,130,1002571,491507,465545,1959623
"314","GOA",1996,30060,370,83729945,83901133,0,167631078
"315","GOA",1996,30060,430,856726,12951718,0,13808444
"316","GOA",1996,30060,330,33306331,19960994,0,53267325
"317","GOA",1999,30060,480,13925,70636,0,84561
"318","GOA",1999,30060,470,0,290790,0,290790
"319","GOA",1999,30060,80,0,0,139361,139361
"320","GOA",1999,30060,60,0,0,98213,98213
"321","GOA",1999,30060,70,0,0,141481,141481
"322","GOA",1999,30060,190,2175156,1366932,336998,3879085
"323","GOA",2007,30060,230,3394201,4838212,0,8232413
"324","GOA",2007,30060,120,241450,57361,347325,646136
"325","GOA",2007,30060,410,12705213,35116223,0,47821436
"326","GOA",2007,30060,270,8327072,9215693,0,17542765
"327","GOA",2007,30060,310,18006271,15869759,0,33876030
"328","GOA",2007,30060,140,316849,384205,234806,935860
"329","GOA",1996,30060,490,0,20749,0,20749
"330","GOA",1996,30060,80,47518,0,39304,86822
"331","GOA",1999,30060,180,995770,779619,539196,2314585
"332","GOA",1999,30060,380,46527178,87929940,0,134457118
"333","GOA",1999,30060,200,2288487,3298736,202199,5789422
"334","GOA",2007,30060,70,0,7667,88149,95816
"335","GOA",2007,30060,280,9472664,10689513,0,20162177
"336","GOA",2007,30060,240,6459966,6419202,0,12879168
"337","GOA",2007,30060,400,24285755,42934893,0,67220648
"338","GOA",2001,30060,380,73246545,34187573,0,107434118
"339","GOA",2001,30060,270,4272413,4302305,0,8574718
"340","GOA",2001,30060,130,2134534,1485411,19591,3639535
"341","GOA",1996,30060,270,14741803,10945039,0,25686841
"342","GOA",1996,30060,340,62291024,40182522,0,102473546
"343","GOA",1996,30060,210,3565168,1550232,0,5115400
"344","GOA",1996,30060,160,2080483,1658099,435304,4173886
"345","GOA",2019,30060,390,108479783,97935795,0,206415578
"346","GOA",2019,30060,210,19069717,18743511,45351,37858579
"347","GOA",2019,30060,370,123145689,77947129,0,201092818
"348","GOA",2001,30060,90,0,8046,25863,33909
"349","GOA",2001,30060,190,9587412,11890415,36942,21514769
"350","GOA",2001,30060,230,3703514,3042546,0,6746059
"351","GOA",2001,30060,210,5717830,4693402,0,10411232
"352","GOA",2001,30060,300,33632618,34017360,0,67649978
"353","GOA",2001,30060,360,43343646,18397319,0,61740965
"354","GOA",2001,30060,450,18821,340444,0,359264
"355","GOA",1996,30060,150,3622319,3303316,1207224,8132859
"356","GOA",1996,30060,400,21315882,38650488,0,59966370
"357","GOA",1996,30060,360,102189954,74698761,0,176888715
"358","GOA",1996,30060,260,9146597,6303506,0,15450103
"359","GOA",1996,30060,410,11207298,22214371,0,33421669
"360","GOA",1996,30060,350,91424863,55968911,0,147393774
"361","GOA",2005,30060,170,1709007,721659,869190,3299857
"362","GOA",2001,30060,110,8570,417920,0,426490
"363","GOA",2001,30060,80,12818,0,163843,176662
"364","GOA",2001,30060,70,0,0,17290,17290
"365","GOA",2001,30060,370,53040201,24294433,0,77334634
"366","GOA",2001,30060,410,8646620,21201114,0,29847734
"367","GOA",2001,30060,310,60540555,69334937,0,129875492
"368","GOA",2001,30060,150,698702,641673,54171,1394545
"369","GOA",2019,30060,120,2307146,1473671,795856,4576673
"370","GOA",2019,30060,560,17145,0,0,17145
"371","GOA",2019,30060,310,25561568,19596083,0,45157651
"372","GOA",2019,30060,350,80377593,47759893,0,128137486
"373","GOA",2001,30060,440,64033,2096837,0,2160870
"374","GOA",2001,30060,290,13467780,16937935,0,30405715
"375","GOA",2001,30060,340,49630815,38531345,0,88162159
"376","GOA",1996,30060,70,8232,0,0,8232
"377","GOA",1996,30060,180,705231,548172,0,1253402
"378","GOA",1996,30060,300,12394737,11939503,0,24334240
"379","GOA",1996,30060,320,14065873,10440252,0,24506125
"380","GOA",2001,30060,220,3898171,4069039,0,7967210
"381","GOA",2001,30060,140,635800,1424317,54171,2114288
"382","GOA",2001,30060,460,0,402117,0,402117
"383","GOA",2001,30060,480,0,102387,0,102387
"384","GOA",2001,30060,100,18831,0,22058,40889
"385","GOA",2019,30060,320,32708407,30143040,0,62851447
"386","GOA",2019,30060,400,75185359,99330009,0,174515368
"387","GOA",2001,30060,170,3958199,2803171,0,6761370
"388","GOA",2019,30060,190,24560940,21309083,36737,45906760
"389","GOA",1999,30060,330,31580333,24135435,0,55715768
"390","GOA",1999,30060,230,13620035,10217507,0,23837542
"391","GOA",1999,30060,250,9622639,11354939,0,20977577
"392","GOA",1999,30060,360,86992320,58864289,0,145856610
"393","GOA",1999,30060,170,1005170,663120,269598,1937889
"394","GOA",1999,30060,240,11491216,8889838,0,20381054
"395","GOA",2001,30060,40,36426,0,0,36426
"396","GOA",2001,30060,260,4054856,2410047,0,6464904
"397","GOA",2001,30060,120,70541,80177,17290,168007
"398","GOA",2019,30060,170,7609445,5223456,51151,12884052
"399","GOA",2019,30060,180,13106551,9885798,73474,23065823
"400","GOA",2019,30060,100,88561,0,40271,128832
"401","GOA",2019,30060,80,28851,0,65229,94080
"402","GOA",1999,30060,160,1282659,516596,0,1799255
"403","GOA",1999,30060,530,0,29478,0,29478
"404","GOA",2001,30060,490,28021,0,0,28021
"405","GOA",2001,30060,390,58861799,40719230,0,99581029
"406","GOA",2001,30060,320,55867341,33404574,0,89271915
"407","GOA",2001,30060,350,40043056,36519305,0,76562361
"408","GOA",2001,30060,280,10009695,4806552,0,14816247
"409","GOA",2001,30060,400,31667192,41711984,0,73379177
"410","GOA",2001,30060,250,1262150,4056640,0,5318790
"411","GOA",2001,30060,330,62239943,38782519,0,101022461
"412","GOA",2001,30060,240,4105865,833318,0,4939184
"413","GOA",2001,30060,420,1543263,12231665,0,13774928
"414","GOA",2019,30060,110,671567,136368,201353,1009288
"415","GOA",2019,30060,130,5256325,3245269,390836,8892430
"416","GOA",2019,30060,430,4389968,25055820,0,29445788
"417","GOA",2019,30060,460,131955,2037409,0,2169364
"418","GOA",2019,30060,290,12053617,10866873,0,22920490
"419","GOA",2019,30060,250,10916961,11121625,51151,22089737
"420","GOA",2005,30060,280,16263603,15738708,0,32002311
"421","GOA",1999,30060,490,0,58590,0,58590
"422","GOA",1999,30060,260,6949851,8497301,0,15447151
"423","GOA",1999,30060,400,11953129,49053743,0,61006872
"424","GOA",1999,30060,270,8549314,9095281,0,17644595
"425","GOA",1999,30060,390,34463328,86712538,0,121175866
"426","GOA",1999,30060,430,947806,14143017,0,15090823
"427","GOA",1999,30060,130,211736,489446,944069,1645251
"428","GOA",2001,30060,470,0,56328,0,56328
"429","GOA",2001,30060,160,1719927,482107,17290,2219325
"430","GOA",2001,30060,180,9966879,12070265,9110,22046255
"431","GOA",2001,30060,200,4129053,6416733,0,10545786
"432","GOA",2001,30060,430,249114,3595455,0,3844568
"433","GOA",2019,30060,230,5320301,4424418,0,9744719
"434","GOA",2019,30060,200,32164482,24772170,51151,56987802
"435","GOA",2019,30060,140,13694102,10149749,1136481,24980332
"436","GOA",2019,30060,490,7940,227884,0,235825
"437","GOA",2019,30060,300,14631390,12129057,0,26760448
"438","GOA",2019,30060,260,15308006,15293551,0,30601557
"439","GOA",2019,30060,380,129328845,90078032,18035,219424912
"440","GOA",2019,30060,450,396731,6314316,0,6711047
"441","GOA",2019,30060,420,13322941,51598167,0,64921108
"442","GOA",2019,30060,160,6566082,6660647,110227,13336956
"443","GOA",2019,30060,480,0,363640,0,363640
"444","GOA",2019,30060,150,13611260,7103849,945980,21661089
"445","GOA",2005,30060,230,12450324,9772189,165923,22388437
"446","GOA",2005,30060,420,4015990,24429426,0,28445416
"447","GOA",1999,30060,460,34565,432726,0,467291
"448","GOA",1999,30060,120,118401,64559,1102141,1285101
"449","GOA",1999,30060,90,0,0,77223,77223
"450","GOA",1999,30060,100,0,0,38630,38630
"451","GOA",1999,30060,110,20177,0,269598,289775
"452","GOA",2005,30060,490,0,9094,0,9094
"453","GOA",2005,30060,410,11548302,42433255,0,53981557
"454","GOA",2007,30060,470,0,323102,0,323102
"455","GOA",2007,30060,150,727181,686787,39897,1453865
"456","GOA",2019,30060,340,53666967,44074600,0,97741567
"457","GOA",2019,30060,440,694627,9517644,0,10212272
"458","GOA",2019,30060,240,6616838,9513200,0,16130038
"459","GOA",2019,30060,280,13214793,10986157,17205,24218156
"460","GOA",2019,30060,410,32947768,77896685,0,110844454
"461","GOA",2019,30060,470,25492,803113,0,828605
"462","GOA",1999,30060,150,1426864,447415,61210,1935488
"463","GOA",1999,30060,450,187056,1719896,0,1906953
"464","GOA",1999,30060,280,6620031,7552547,0,14172578
"465","GOA",2005,30060,470,62341,463059,0,525400
"466","GOA",2005,30060,150,335935,313846,283165,932947
"467","GOA",2005,30060,480,0,49954,0,49954
"468","GOA",2005,30060,90,16440,14224,15804,46467
"469","GOA",2007,30060,250,7426403,7086263,0,14512666
"470","GOA",2007,30060,220,3327265,3619752,0,6947017
"471","GOA",2019,30060,90,25648,0,78416,104064
"472","GOA",2019,30060,330,45159076,38264178,0,83423255
"473","GOA",2019,30060,220,7400921,6291237,0,13692158
"474","GOA",2019,30060,270,13540708,11373342,0,24914050
"475","GOA",2019,30060,360,107553702,73885093,0,181438795
"476","GOA",1999,30060,210,5922923,6430560,0,12353483
"477","GOA",1999,30060,320,16484465,14945816,0,31430281
"478","GOA",1999,30060,310,11180329,16056426,0,27236755
"479","GOA",1999,30060,140,484369,551081,75702,1111152
"480","GOA",1999,30060,440,345234,4408281,0,4753515
"481","GOA",2005,30060,340,51960414,47994763,0,99955178
"482","GOA",2005,30060,250,15520179,12314499,0,27834678
"483","GOA",2005,30060,130,135509,139006,73766,348280
"484","GOA",2005,30060,220,10977851,10211496,304193,21493540
"485","GOA",2007,30060,100,241692,63339,234003,539034
"486","GOA",2007,30060,80,0,0,332985,332985
"487","GOA",2007,30060,330,44711915,27948156,0,72660071
"488","GOA",1996,30060,380,50814130,64820599,0,115634729
"489","GOA",1996,30060,420,2703517,17074005,0,19777523
"490","GOA",1996,30060,390,27389895,61218241,0,88608136
